,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
2019-10-24,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,rs Partizan,Y*,CB,90,45,53,84.9,1013,333,9,11,81.8,28,30,93.3,8,11,72.7,0,0.0,0.0,0,0,0,0,0,Match Report
2019-10-27,Sun,Premier League,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,Y,CB,90,48,54,88.9,1065,355,12,14,85.7,26,28,92.9,10,12,83.3,0,0.1,0.0,2,4,0,0,1,Match Report
2019-10-30,Wed,EFL Cup,Fourth round,Away,W 2–1,Manchester Utd,Chelsea,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2019-11-02,Sat,Premier League,Matchweek 11,Away,L 0–1,Manchester Utd,Bournemouth,Y,CB,90,45,51,88.2,904,236,9,10,90.0,33,36,91.7,3,5,60.0,0,0.0,0.0,1,3,0,0,4,Match Report
2019-11-07,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,rs Partizan,Y,CB,90,69,80,86.3,1382,450,26,28,92.9,36,40,90.0,5,9,55.6,0,0.0,0.0,0,1,0,0,3,Match Report
2019-11-10,Sun,Premier League,Matchweek 12,Home,W 3–1,Manchester Utd,Brighton,Y*,CB,90,34,47,72.3,726,141,9,11,81.8,16,20,80.0,9,16,56.3,1,0.8,0.0,1,2,0,0,1,Match Report
2019-11-14,Thu,UEFA Euro Qualifying,Group stage,Home,W 7–0,eng England,me Montenegro,Y,CB,90,,,,,,,,,,,,,,,1,,,,,,,,Match Report
2019-11-17,Sun,UEFA Euro Qualifying,Group stage,Away,W 4–0,eng England,xk Kosovo,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2019-11-24,Sun,Premier League,Matchweek 13,Away,D 3–3,Manchester Utd,Sheffield Utd,Y*,CB,90,59,75,78.7,1294,397,18,23,78.3,32,38,84.2,9,13,69.2,0,0.0,0.0,1,5,0,0,6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,Sun,Premier League,Matchweek 14,Home,D 2–2,Manchester Utd,Aston Villa,Y*,CB,90,63,72,87.5,1212,451,22,26,84.6,32,35,91.4,9,11,81.8,0,0.0,0.0,1,5,0,0,5,Match Report
2019-12-04,Wed,Premier League,Matchweek 15,Home,W 2–1,Manchester Utd,Tottenham,Y,CB,90,45,57,78.9,958,293,13,16,81.3,25,28,89.3,7,13,53.8,0,0.0,0.0,0,2,0,0,2,Match Report
2019-12-07,Sat,Premier League,Matchweek 16,Away,W 2–1,Manchester Utd,Manchester City,Y*,CB,90,15,18,83.3,320,83,4,4,100.0,7,8,87.5,4,6,66.7,0,0.0,0.0,0,1,0,0,0,Match Report
2019-12-12,Thu,Europa Lg,Group stage,Home,W 4–0,eng Manchester Utd,nl AZ Alkmaar,Y,CB,67,53,55,96.4,945,237,20,20,100.0,30,30,100.0,3,4,75.0,0,0.0,0.0,0,3,0,0,0,Match Report
2019-12-15,Sun,Premier League,Matchweek 17,Home,D 1–1,Manchester Utd,Everton,Y*,CB,90,72,85,84.7,1323,379,26,30,86.7,36,39,92.3,6,11,54.5,0,0.0,0.0,0,10,0,0,4,Match Report
2019-12-18,Wed,EFL Cup,Quarter-finals,Home,W 3–0,Manchester Utd,Colchester Utd,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2019-12-22,Sun,Premier League,Matchweek 18,Away,L 0–2,Manchester Utd,Watford,Y*,CB,90,68,78,87.2,1313,465,23,25,92.0,39,41,95.1,5,9,55.6,0,0.0,0.0,0,11,0,0,9,Match Report
2019-12-26,Thu,Premier League,Matchweek 19,Home,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,88,99,88.9,1745,567,33,36,91.7,42,46,91.3,13,17,76.5,0,0.0,0.0,0,8,0,0,5,Match Report
2019-12-28,Sat,Premier League,Matchweek 20,Away,W 2–0,Manchester Utd,Burnley,Y,CB,90,47,53,88.7,933,233,15,16,93.8,26,28,92.9,6,9,66.7,0,0.0,0.0,1,2,0,0,2,Match Report
2020-01-01,Wed,Premier League,Matchweek 21,Away,L 0–2,Manchester Utd,Arsenal,Y*,CB,90,75,84,89.3,1272,368,30,32,93.8,41,44,93.2,3,6,50.0,0,0.0,0.0,0,6,0,0,1,Match Report
2020-01-04,Sat,FA Cup,Third round,Away,D 0–0,Manchester Utd,Wolves,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,Sat,Premier League,Matchweek 22,Home,W 4–0,Manchester Utd,Norwich City,Y*,CB,90,59,68,86.8,1429,379,10,11,90.9,35,39,89.7,14,18,77.8,0,0.0,0.0,0,6,0,0,1,Match Report
2020-01-15,Wed,FA Cup,Third round,Home,W 1–0,Manchester Utd,Wolves,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-01-19,Sun,Premier League,Matchweek 23,Away,L 0–2,Manchester Utd,Liverpool,Y*,CB,90,45,58,77.6,669,271,28,31,90.3,14,20,70.0,2,5,40.0,0,0.0,0.0,0,4,0,0,2,Match Report
2020-01-22,Wed,Premier League,Matchweek 24,Home,L 0–2,Manchester Utd,Burnley,Y*,CB,90,66,76,86.8,1230,371,25,29,86.2,31,32,96.9,9,14,64.3,0,0.0,0.0,0,3,0,0,2,Match Report
2020-01-26,Sun,FA Cup,Fourth round,Away,W 6–0,Manchester Utd,Tranmere Rovers,Y*,CB,63,,,,,,,,,,,,,,,1,,,,,,,,Match Report
2020-01-29,Wed,EFL Cup,Semi-finals,Away,W 1–0,Manchester Utd,Manchester City,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-02-01,Sat,Premier League,Matchweek 25,Home,D 0–0,Manchester Utd,Wolves,Y*,CB,90,58,65,89.2,1173,398,14,15,93.3,37,40,92.5,7,10,70.0,0,0.0,0.0,1,5,0,0,7,Match Report
2020-02-17,Mon,Premier League,Matchweek 26,Away,W 2–0,Manchester Utd,Chelsea,Y*,CB,90,33,40,82.5,746,338,13,15,86.7,11,12,91.7,9,13,69.2,0,0.0,0.0,0,2,0,0,3,Match Report
2020-02-20,Thu,Europa Lg,Round of 32,Away,D 1–1,eng Manchester Utd,be Club Brugge,Y*,CB,90,68,74,91.9,1353,434,19,21,90.5,39,40,97.5,9,11,81.8,0,0.0,0.0,0,1,0,0,4,Match Report
2020-02-23,Sun,Premier League,Matchweek 27,Home,W 3–0,Manchester Utd,Watford,Y*,CB,90,67,88,76.1,1376,501,17,20,85.0,40,49,81.6,9,14,64.3,0,0.0,0.0,0,2,0,0,2,Match Report
2020-02-27,Thu,Europa Lg,Round of 32,Home,W 5–0,eng Manchester Utd,be Club Brugge,Y*,CB,90,68,74,91.9,1436,455,22,24,91.7,36,37,97.3,9,11,81.8,0,0.0,0.0,0,7,0,0,3,Match Report
2020-03-01,Sun,Premier League,Matchweek 28,Away,D 1–1,Manchester Utd,Everton,Y*,CB,90,35,45,77.8,700,218,9,11,81.8,23,25,92.0,3,7,42.9,0,0.0,0.0,0,3,0,0,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,Sun,Premier League,Matchweek 29,Home,W 2–0,Manchester Utd,Manchester City,Y*,CB,90,28,39,71.8,662,240,5,5,100.0,17,19,89.5,6,13,46.2,0,0.0,0.0,0,1,0,0,0,Match Report
2020-03-12,Thu,Europa Lg,Round of 16,Away,W 5–0,eng Manchester Utd,at LASK,Y*,CB,90,46,53,86.8,1083,383,9,9,100.0,28,29,96.6,9,14,64.3,0,0.0,0.0,0,3,0,0,0,Match Report
2020-06-19,Fri,Premier League,Matchweek 30,Away,D 1–1,Manchester Utd,Tottenham,Y*,CB,90,93,100,93.0,1740,392,39,41,95.1,44,46,95.7,9,10,90.0,0,0.0,0.0,0,7,0,0,7,Match Report
2020-06-24,Wed,Premier League,Matchweek 31,Home,W 3–0,Manchester Utd,Sheffield Utd,Y*,CB,90,91,95,95.8,1858,491,29,32,90.6,48,49,98.0,13,13,100.0,0,0.0,0.0,0,1,0,0,5,Match Report
2020-06-27,Sat,FA Cup,Quarter-finals,Away,W 2–1,Manchester Utd,Norwich City,Y*,CB,120,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-06-30,Tue,Premier League,Matchweek 32,Away,W 3–0,Manchester Utd,Brighton,Y*,CB,90,85,94,90.4,1815,620,24,26,92.3,47,48,97.9,13,17,76.5,0,0.0,0.0,1,9,0,0,3,Match Report
2020-07-04,Sat,Premier League,Matchweek 33,Home,W 5–2,Manchester Utd,Bournemouth,Y*,CB,90,78,87,89.7,1495,387,27,31,87.1,42,44,95.5,8,9,88.9,0,0.0,0.0,0,4,0,0,3,Match Report
2020-07-09,Thu,Premier League,Matchweek 34,Away,W 3–0,Manchester Utd,Aston Villa,Y*,CB,90,57,61,93.4,1096,323,20,21,95.2,31,31,100.0,6,9,66.7,0,0.0,0.0,0,5,0,0,0,Match Report
2020-07-13,Mon,Premier League,Matchweek 35,Home,D 2–2,Manchester Utd,Southampton,Y*,CB,90,51,63,81.0,1097,294,12,16,75.0,33,36,91.7,6,11,54.5,0,0.0,0.0,0,2,0,0,1,Match Report
2020-07-16,Thu,Premier League,Matchweek 36,Away,W 2–0,Manchester Utd,Crystal Palace,Y*,CB,90,67,75,89.3,1181,473,21,23,91.3,37,41,90.2,5,7,71.4,0,0.0,0.0,1,7,0,0,3,Match Report
2020-07-19,Sun,FA Cup,Semi-finals,Neutral,L 1–3,Manchester Utd,Chelsea,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-07-22,Wed,Premier League,Matchweek 37,Home,D 1–1,Manchester Utd,West Ham,Y*,CB,90,60,68,88.2,1104,475,24,25,96.0,32,35,91.4,4,8,50.0,0,0.0,0.0,1,11,0,0,4,Match Report
2020-07-26,Sun,Premier League,Matchweek 38,Away,W 2–0,Manchester Utd,Leicester City,Y*,CB,90,50,55,90.9,1058,351,17,19,89.5,27,28,96.4,6,8,75.0,0,0.0,0.0,0,1,0,0,2,Match Report
2020-08-05,Wed,Europa Lg,Round of 16,Home,W 2–1,eng Manchester Utd,at LASK,Y*,CB,90,59,69,85.5,1339,474,15,19,78.9,33,36,91.7,11,13,84.6,0,0.0,0.0,0,1,0,0,1,Match Report
2020-08-10,Mon,Europa Lg,Quarter-finals,Home,W 1–0,eng Manchester Utd,dk FC Copenhagen,Y*,CB,120,77,90,85.6,1657,798,27,31,87.1,34,34,100.0,15,23,65.2,0,0.0,0.0,0,10,0,0,7,Match Report
2020-08-16,Sun,Europa Lg,Semi-finals,Away,L 1–2,eng Manchester Utd,es Sevilla,Y*,CB,90,37,48,77.1,680,283,12,13,92.3,24,27,88.9,1,8,12.5,0,0.0,0.0,0,6,0,0,3,Match Report
,,,,,36-14-11,,,61/61,,5500,2714,3131,86.7,54820,17561,849,953,89.1,1481,1601,92.5,356,512,69.5,3,1.4,0.9,16,195,0,0,127,
