,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
2019/11/2,Sat,Premier League,Matchweek 11,Away,L 0퇝?,Manchester Utd,Bournemouth,Y,CB,90,60,5,23,33,5,1,60,0,0,,0,0,38,0,Match Report
2019/11/7,Thu,Europa Lg,Group stage,Home,W 3퇝?,eng Manchester Utd,rs Partizan,Y,CB,90,83,7,37,46,1,0,83,1,1,100,0,0,52,0,Match Report
2019/11/10,Sun,Premier League,Matchweek 12,Home,W 3퇝?,Manchester Utd,Brighton,Y*,CB,90,62,5,31,27,5,2,62,1,1,100,2,1,31,0,Match Report
2019/11/14,Thu,UEFA Euro Qualifying,Group stage,Home,W 7퇝?,eng England,me Montenegro,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/11/17,Sun,UEFA Euro Qualifying,Group stage,Away,W 4퇝?,eng England,xk Kosovo,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/11/24,Sun,Premier League,Matchweek 13,Away,D 3퇝?,Manchester Utd,Sheffield Utd,Y*,CB,90,86,8,36,45,6,2,86,0,0,,0,0,46,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/1,Sun,Premier League,Matchweek 14,Home,D 2퇝?,Manchester Utd,Aston Villa,Y*,CB,90,79,6,32,40,9,1,79,0,0,,0,1,52,0,Match Report
2019/12/4,Wed,Premier League,Matchweek 15,Home,W 2퇝?,Manchester Utd,Tottenham,Y,CB,90,66,10,47,18,2,0,66,1,1,100,0,0,41,1,Match Report
2019/12/7,Sat,Premier League,Matchweek 16,Away,W 2퇝?,Manchester Utd,Manchester City,Y*,CB,90,37,17,30,8,0,0,37,0,0,,0,0,11,0,Match Report
2019/12/12,Thu,Europa Lg,Group stage,Home,W 4퇝?,eng Manchester Utd,nl AZ Alkmaar,Y,CB,67,58,6,27,27,4,1,58,0,0,,0,0,49,0,Match Report
2019/12/15,Sun,Premier League,Matchweek 17,Home,D 1퇝?,Manchester Utd,Everton,Y*,CB,90,96,6,36,50,10,4,96,0,0,,1,0,66,0,Match Report
2019/12/18,Wed,EFL Cup,Quarter-finals,Home,W 3퇝?,Manchester Utd,Colchester Utd,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/12/22,Sun,Premier League,Matchweek 18,Away,L 0퇝?,Manchester Utd,Watford,Y*,CB,90,94,13,43,46,5,1,94,0,0,,0,1,63,0,Match Report
2019/12/26,Thu,Premier League,Matchweek 19,Home,W 4퇝?,Manchester Utd,Newcastle Utd,Y*,CB,90,109,7,35,72,5,1,109,1,1,100,1,0,82,0,Match Report
2019/12/28,Sat,Premier League,Matchweek 20,Away,W 2퇝?,Manchester Utd,Burnley,Y,CB,90,63,11,35,27,3,1,63,0,0,,1,0,36,1,Match Report
2020/1/1,Wed,Premier League,Matchweek 21,Away,L 0퇝?,Manchester Utd,Arsenal,Y*,CB,90,93,10,35,52,6,1,93,1,2,50,0,0,69,0,Match Report
2020/1/4,Sat,FA Cup,Third round,Away,D 0퇝?,Manchester Utd,Wolves,Y,CB,90,,,,,,,,,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2020/1/11,Sat,Premier League,Matchweek 22,Home,W 4퇝?,Manchester Utd,Norwich City,Y*,CB,90,77,12,32,45,0,0,77,0,0,,0,0,54,0,Match Report
2020/1/15,Wed,FA Cup,Third round,Home,W 1퇝?,Manchester Utd,Wolves,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2020/1/19,Sun,Premier League,Matchweek 23,Away,L 0퇝?,Manchester Utd,Liverpool,Y*,CB,90,72,14,39,29,4,1,72,0,0,,0,0,44,0,Match Report
2020/1/22,Wed,Premier League,Matchweek 24,Home,L 0퇝?,Manchester Utd,Burnley,Y*,CB,90,82,7,45,31,6,1,82,0,0,,0,0,56,0,Match Report
2020/1/26,Sun,FA Cup,Fourth round,Away,W 6퇝?,Manchester Utd,Tranmere Rovers,Y*,CB,63,,,,,,,,,,,,,,,Match Report
2020/1/29,Wed,EFL Cup,Semi-finals,Away,W 1퇝?,Manchester Utd,Manchester City,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2020/2/1,Sat,Premier League,Matchweek 25,Home,D 0퇝?,Manchester Utd,Wolves,Y*,CB,90,77,9,26,47,6,2,77,0,0,,0,0,49,0,Match Report
2020/2/17,Mon,Premier League,Matchweek 26,Away,W 2퇝?,Manchester Utd,Chelsea,Y*,CB,90,56,15,35,18,3,3,56,1,1,100,1,0,27,0,Match Report
2020/2/20,Thu,Europa Lg,Round of 32,Away,D 1퇝?,eng Manchester Utd,be Club Brugge,Y*,CB,90,80,12,45,35,1,0,80,2,2,100,0,0,56,0,Match Report
2020/2/23,Sun,Premier League,Matchweek 27,Home,W 3퇝?,Manchester Utd,Watford,Y*,CB,90,96,14,49,44,4,3,96,0,0,,0,0,67,0,Match Report
2020/2/27,Thu,Europa Lg,Round of 32,Home,W 5퇝?,eng Manchester Utd,be Club Brugge,Y*,CB,90,84,6,22,51,11,4,84,1,1,100,1,0,58,1,Match Report
2020/3/1,Sun,Premier League,Matchweek 28,Away,D 1퇝?,Manchester Utd,Everton,Y*,CB,90,67,14,39,27,3,0,67,0,0,,1,0,27,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/8,Sun,Premier League,Matchweek 29,Home,W 2퇝?,Manchester Utd,Manchester City,Y*,CB,90,51,13,30,20,2,1,51,0,1,0,0,0,25,0,Match Report
2020/3/12,Thu,Europa Lg,Round of 16,Away,W 5퇝?,eng Manchester Utd,at LASK,Y*,CB,90,73,12,38,31,4,4,73,1,1,100,0,0,37,0,Match Report
2020/6/19,Fri,Premier League,Matchweek 30,Away,D 1퇝?,Manchester Utd,Tottenham,Y*,CB,90,115,4,39,70,8,3,115,0,0,,1,0,77,0,Match Report
2020/6/24,Wed,Premier League,Matchweek 31,Home,W 3퇝?,Manchester Utd,Sheffield Utd,Y*,CB,90,100,7,40,60,1,1,100,0,0,,0,0,81,0,Match Report
2020/6/27,Sat,FA Cup,Quarter-finals,Away,W 2퇝?,Manchester Utd,Norwich City,Y*,CB,120,,,,,,,,,,,,,,,Match Report
2020/6/30,Tue,Premier League,Matchweek 32,Away,W 3퇝?,Manchester Utd,Brighton,Y*,CB,90,100,16,60,37,3,1,100,0,0,,0,0,78,0,Match Report
2020/7/4,Sat,Premier League,Matchweek 33,Home,W 5퇝?,Manchester Utd,Bournemouth,Y*,CB,90,92,10,35,49,9,1,92,1,1,100,0,0,71,0,Match Report
2020/7/9,Thu,Premier League,Matchweek 34,Away,W 3퇝?,Manchester Utd,Aston Villa,Y*,CB,90,68,7,39,29,0,0,68,0,0,,0,1,53,0,Match Report
2020/7/13,Mon,Premier League,Matchweek 35,Home,D 2퇝?,Manchester Utd,Southampton,Y*,CB,90,68,7,48,20,1,1,68,0,0,,0,0,50,1,Match Report
2020/7/16,Thu,Premier League,Matchweek 36,Away,W 2퇝?,Manchester Utd,Crystal Palace,Y*,CB,90,87,14,37,45,5,4,87,0,0,,0,0,65,0,Match Report
2020/7/19,Sun,FA Cup,Semi-finals,Neutral,L 1퇝?,Manchester Utd,Chelsea,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2020/7/22,Wed,Premier League,Matchweek 37,Home,D 1퇝?,Manchester Utd,West Ham,Y*,CB,90,79,12,40,36,3,1,79,0,0,,0,0,46,0,Match Report
2020/7/26,Sun,Premier League,Matchweek 38,Away,W 2퇝?,Manchester Utd,Leicester City,Y*,CB,90,61,10,33,26,2,0,61,0,0,,0,1,44,0,Match Report
2020/8/5,Wed,Europa Lg,Round of 16,Home,W 2퇝?,eng Manchester Utd,at LASK,Y*,CB,90,77,11,49,23,5,2,77,1,1,100,0,0,50,0,Match Report
2020/8/10,Mon,Europa Lg,Quarter-finals,Home,W 1퇝?,eng Manchester Utd,dk FC Copenhagen,Y*,CB,120,97,12,51,46,0,0,97,0,0,,0,0,69,0,Match Report
2020/8/16,Sun,Europa Lg,Semi-finals,Away,L 1퇝?,eng Manchester Utd,es Sevilla,Y*,CB,90,56,10,29,24,3,3,56,0,0,,0,0,34,0,Match Report
,,,,,36-14-11,,,61/61,,5500,3586,446,1706,1715,195,75,3586,14,18,77.8,12,6,2394,9,
