,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2019/8/11,Sun,Premier League,Matchweek 1,Home,W 4퇝?,Manchester Utd,Chelsea,Y,CB,90,69,9,49,16,4,4,69,0,0,,0,0,45,1,Match Report
2019/8/19,Mon,Premier League,Matchweek 2,Away,D 1퇝?,Manchester Utd,Wolves,Y,CB,90,96,13,40,53,3,2,96,0,0,,0,0,70,0,Match Report
2019/8/24,Sat,Premier League,Matchweek 3,Home,L 1퇝?,Manchester Utd,Crystal Palace,Y,CB,90,90,5,23,59,9,2,90,0,0,,0,0,69,1,Match Report
2019/8/31,Sat,Premier League,Matchweek 4,Away,D 1퇝?,Manchester Utd,Southampton,Y,CB,90,70,9,35,28,7,0,70,0,0,,0,0,53,0,Match Report
2019/9/7,Sat,UEFA Euro Qualifying,Group stage,Home,W 4퇝?,eng England,bg Bulgaria,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/9/10,Tue,UEFA Euro Qualifying,Group stage,Home,W 5퇝?,eng England,xk Kosovo,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/9/14,Sat,Premier League,Matchweek 5,Home,W 1퇝?,Manchester Utd,Leicester City,Y,CB,90,41,9,23,17,3,2,41,0,1,0,0,0,17,0,Match Report
2019/9/22,Sun,Premier League,Matchweek 6,Away,L 0퇝?,Manchester Utd,West Ham,Y,CB,90,75,6,42,29,4,3,75,0,0,,1,1,54,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2019/9/30,Mon,Premier League,Matchweek 7,Home,D 1퇝?,Manchester Utd,Arsenal,Y,CB,90,74,8,35,33,6,4,74,1,2,50,0,0,50,1,Match Report
2019/10/6,Sun,Premier League,Matchweek 8,Away,L 0퇝?,Manchester Utd,Newcastle Utd,Y,CB,90,104,4,25,71,9,4,104,0,0,,0,0,81,0,Match Report
2019/10/11,Fri,UEFA Euro Qualifying,Group stage,Away,L 1퇝?,eng England,cz Czech Republic,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/10/14,Mon,UEFA Euro Qualifying,Group stage,Away,W 6퇝?,eng England,bg Bulgaria,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019/10/20,Sun,Premier League,Matchweek 9,Home,D 1퇝?,Manchester Utd,Liverpool,Y,CB,90,42,12,28,13,1,0,42,0,0,,1,0,19,0,Match Report
2019/10/24,Thu,Europa Lg,Group stage,Away,W 1퇝?,eng Manchester Utd,rs Partizan,Y*,CB,90,63,10,43,20,0,0,63,1,1,100,0,0,40,0,Match Report
2019/10/27,Sun,Premier League,Matchweek 10,Away,W 3퇝?,Manchester Utd,Norwich City,Y,CB,90,61,2,16,42,4,3,61,0,0,,1,0,42,0,Match Report
2019/10/30,Wed,EFL Cup,Fourth round,Away,W 2퇝?,Manchester Utd,Chelsea,Y*,CB,90,,,,,,,,,,,,,,,Match Report
