,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
2019-03-03,Sun,Premier League,Matchweek 29,Away,L 1–2,Leicester City,Watford,Y,CB,90,87,4,24,54,10,3,87,1,1,100.0,1,0,68,1,Match Report
2019-03-09,Sat,Premier League,Matchweek 30,Home,W 3–1,Leicester City,Fulham,Y,CB,90,84,6,28,54,3,2,84,0,0,,0,0,62,0,Match Report
2019-03-16,Sat,Premier League,Matchweek 31,Away,W 2–1,Leicester City,Burnley,Y,CB,3,4,0,3,1,0,0,4,0,0,,0,0,4,0,Match Report
2019-03-22,Fri,UEFA Euro Qualifying,Group stage,Home,W 5–0,eng England,cz Czech Republic,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019-03-25,Mon,UEFA Euro Qualifying,Group stage,Away,W 5–1,eng England,me Montenegro,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019-04-12,Fri,Premier League,Matchweek 34,Home,L 0–1,Leicester City,Newcastle Utd,Y,CB,90,133,3,33,97,5,2,133,0,1,0.0,0,0,99,0,Match Report
2019-04-20,Sat,Premier League,Matchweek 35,Away,D 2–2,Leicester City,West Ham,Y,CB,90,66,5,24,37,5,5,66,0,0,,0,0,47,0,Match Report
2019-04-28,Sun,Premier League,Matchweek 36,Home,W 3–0,Leicester City,Arsenal,Y,CB,90,101,9,57,40,4,2,101,1,1,100.0,0,0,67,1,Match Report
2019-05-06,Mon,Premier League,Matchweek 37,Away,L 0–1,Leicester City,Manchester City,Y,CB,90,58,8,38,17,5,1,58,2,2,100.0,1,0,45,1,Match Report
2019-05-12,Sun,Premier League,Matchweek 38,Home,D 0–0,Leicester City,Chelsea,Y,CB,90,79,12,51,28,1,0,79,1,1,100.0,0,0,59,0,Match Report
2019-06-06,Thu,UEFA Nations League,Semi-finals,Neutral,L 1–3,eng England,nl Netherlands,Y,CB,120,,,,,,,,,,,,,,,Match Report
2019-06-09,Sun,UEFA Nations League,Third-place match,Neutral,D 0 (6)–0 (5),eng England,ch Switzerland,Y,CB,120,,,,,,,,,,,,,,,Match Report
,,,,,17-8-19,,,44/44,,3916,2365,238,968,1229,197,77,2365,20,25,80.0,29,8,1512,21,
