,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2020-09-19,Sat,Premier League,Matchweek 2,Home,L 1–3,Manchester Utd,Crystal Palace,Y*,CB,90,101,6,29,61,12,1,101,0,0,,1,0,69,0,Match Report
2020-09-22,Tue,EFL Cup,Third round,Away,W 3–0,Manchester Utd,Luton Town,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2020-09-26,Sat,Premier League,Matchweek 3,Away,W 3–2,Manchester Utd,Brighton,Y*,CB,90,57,15,30,26,1,1,57,0,0,,0,0,39,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,Sun,Premier League,Matchweek 4,Home,L 1–6,Manchester Utd,Tottenham,Y*,CB,90,56,8,27,26,4,1,56,0,0,,0,1,38,0,Match Report
2020-10-11,Sun,UEFA Nations League,League A,Home,W 2–1,eng England,be Belgium,Y,CB,90,,,,,,,,,,,,,,,Match Report
2020-10-14,Wed,UEFA Nations League,League A,Home,L 0–1,eng England,dk Denmark,Y,CB,31,,,,,,,,,,,,,,,Match Report
2020-10-17,Sat,Premier League,Matchweek 5,Away,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,92,5,48,41,5,3,92,0,0,,0,0,64,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Sat,Premier League,Matchweek 6,Home,D 0–0,Manchester Utd,Chelsea,Y*,CB,90,70,13,36,31,3,1,70,0,0,,1,0,48,0,Match Report
2020-10-28,Wed,Champions Lg,Group stage,Home,W 5–0,eng Manchester Utd,de RB Leipzig,Y*,CB,90,74,10,48,24,3,1,74,0,0,,0,1,53,0,Match Report
2020-11-01,Sun,Premier League,Matchweek 7,Home,L 0–1,Manchester Utd,Arsenal,Y*,CB,90,79,11,33,39,9,5,79,1,1,100.0,0,0,60,4,Match Report
2020-11-04,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,tr Başakşehir,Y*,CB,90,92,5,15,72,5,2,92,1,1,100.0,0,0,69,1,Match Report
2020-11-07,Sat,Premier League,Matchweek 8,Away,W 3–1,Manchester Utd,Everton,Y*,CB,90,60,13,33,26,1,1,60,0,0,,0,0,35,0,Match Report
2020-11-12,Thu,Friendlies (M),Friendlies (M),Home,W 3–0,eng England,ie Rep. of Ireland,Y*,CB,90,,,,,,,,,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,Wed,UEFA Nations League,League A,Home,W 4–0,eng England,is Iceland,Y,CB,90,,,,,,,,,,,,,,,Match Report
2020-11-21,Sat,Premier League,Matchweek 9,Home,W 1–0,Manchester Utd,West Brom,Y*,CB,90,75,2,28,43,5,2,75,1,1,100.0,1,0,48,0,Match Report
2020-11-24,Tue,Champions Lg,Group stage,Home,W 4–1,eng Manchester Utd,tr Başakşehir,Y*,CB,90,78,13,36,38,4,3,78,0,0,,0,0,57,0,Match Report
2020-11-29,Sun,Premier League,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,Y*,CB,90,65,9,38,24,3,1,65,0,1,0.0,0,0,45,0,Match Report
2020-12-02,Wed,Champions Lg,Group stage,Home,L 1–3,eng Manchester Utd,fr Paris S-G,Y*,CB,90,70,6,28,37,7,2,70,0,0,,1,0,42,1,Match Report
2020-12-05,Sat,Premier League,Matchweek 11,Away,W 3–1,Manchester Utd,West Ham,Y*,CB,90,92,12,44,48,2,0,92,0,0,,0,0,59,1,Match Report
2020-12-08,Tue,Champions Lg,Group stage,Away,L 2–3,eng Manchester Utd,de RB Leipzig,Y*,CB,90,66,8,23,38,5,3,66,0,0,,1,0,50,1,Match Report
2020-12-12,Sat,Premier League,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,Y*,CB,90,84,17,52,29,3,1,84,0,1,0.0,0,0,58,0,Match Report
2020-12-17,Thu,Premier League,Matchweek 13,Away,W 3–2,Manchester Utd,Sheffield Utd,Y*,CB,90,82,15,49,32,1,0,82,0,0,,0,0,58,0,Match Report
2020-12-20,Sun,Premier League,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,Y*,CB,90,38,9,20,10,8,4,38,0,0,,1,0,19,0,Match Report
2020-12-23,Wed,EFL Cup,Quarter-finals,Away,W 2–0,Manchester Utd,Everton,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2020-12-26,Sat,Premier League,Matchweek 15,Away,D 2–2,Manchester Utd,Leicester City,Y*,CB,90,71,8,34,35,2,1,71,0,0,,0,0,52,0,Match Report
2020-12-29,Tue,Premier League,Matchweek 16,Home,W 1–0,Manchester Utd,Wolves,Y*,CB,90,85,10,38,46,1,1,85,1,1,100.0,0,0,54,1,Match Report
2021-01-01,Fri,Premier League,Matchweek 17,Home,W 2–1,Manchester Utd,Aston Villa,Y*,CB,90,48,6,25,22,1,1,48,0,0,,0,0,27,0,Match Report
2021-01-06,Wed,EFL Cup,Semi-finals,Home,L 0–2,Manchester Utd,Manchester City,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2021-01-09,Sat,FA Cup,Third round proper,Home,W 1–0,Manchester Utd,Watford,N,,46,,,,,,,,,,,,,,,Match Report
2021-01-12,Tue,Premier League,Matchweek 1,Away,W 1–0,Manchester Utd,Burnley,Y*,CB,90,72,9,37,32,4,1,72,0,0,,0,0,40,0,Match Report
2021-01-17,Sun,Premier League,Matchweek 19,Away,D 0–0,Manchester Utd,Liverpool,Y*,CB,90,51,21,40,11,1,0,51,0,0,,0,0,28,0,Match Report
2021-01-20,Wed,Premier League,Matchweek 18,Away,W 2–1,Manchester Utd,Fulham,Y*,CB,90,86,10,25,51,10,3,86,0,0,,0,0,62,0,Match Report
2021-01-24,Sun,FA Cup,Fourth round proper,Home,W 3–2,Manchester Utd,Liverpool,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2021-01-27,Wed,Premier League,Matchweek 20,Home,L 1–2,Manchester Utd,Sheffield Utd,Y*,CB,90,128,8,58,66,6,3,128,0,0,,1,0,95,0,Match Report
2021-01-30,Sat,Premier League,Matchweek 21,Away,D 0–0,Manchester Utd,Arsenal,Y*,CB,90,70,10,30,33,7,2,70,1,1,100.0,0,0,51,0,Match Report
2021-02-02,Tue,Premier League,Matchweek 22,Home,W 9–0,Manchester Utd,Southampton,Y*,CB,90,77,2,9,38,31,1,77,0,0,,0,0,54,0,Match Report
2021-02-06,Sat,Premier League,Matchweek 23,Home,D 3–3,Manchester Utd,Everton,Y*,CB,90,74,3,22,44,8,2,74,0,0,,2,0,58,0,Match Report
2021-02-09,Tue,FA Cup,Fifth round proper,Home,W 1–0,Manchester Utd,West Ham,Y*,CB,120,,,,,,,,,,,,,,,Match Report
2021-02-14,Sun,Premier League,Matchweek 24,Away,D 1–1,Manchester Utd,West Brom,Y*,CB,90,109,4,37,44,29,5,109,0,1,0.0,0,1,74,1,Match Report
2021-02-18,Thu,Europa Lg,Round of 32,Neutral,W 4–0,eng Manchester Utd,es Real Sociedad,Y*,CB,90,51,11,30,16,5,1,51,0,0,,0,0,31,0,Match Report
2021-02-21,Sun,Premier League,Matchweek 25,Home,W 3–1,Manchester Utd,Newcastle Utd,Y*,CB,90,118,14,56,59,3,2,118,0,0,,0,1,86,0,Match Report
