,Perf,Aeri
Date,Recov,Won%
2019-08-11,2,66.7
2019-08-19,9,85.7
2019-08-24,5,87.5
2019-08-31,6,60.0
2019-09-07,,
2019-09-10,,
2019-09-14,6,66.7
2019-09-22,3,62.5
2019-09-30,4,66.7
2019-10-06,7,80.0
2019-10-11,,
2019-10-14,,
2019-10-20,4,50.0
2019-10-24,6,100.0
2019-10-27,5,100.0
2019-10-30,,
2019-11-02,5,40.0
2019-11-07,8,100.0
2019-11-10,7,33.3
2019-11-14,,
2019-11-17,,
2019-11-24,7,90.0
2019-12-01,5,66.7
2019-12-04,10,75.0
2019-12-07,7,50.0
2019-12-12,2,50.0
2019-12-15,2,100.0
2019-12-18,,
2019-12-22,6,90.9
2019-12-26,8,75.0
2019-12-28,9,42.9
2020-01-01,11,75.0
2020-01-04,,
2020-01-11,8,100.0
2020-01-15,,
2020-01-19,7,66.7
2020-01-22,9,75.0
2020-01-26,,
2020-01-29,,
2020-02-01,11,50.0
2020-02-17,8,60.0
2020-02-20,10,100.0
2020-02-23,6,78.6
2020-02-27,2,50.0
2020-03-01,6,83.3
2020-03-08,9,50.0
2020-03-12,9,100.0
2020-06-19,8,80.0
2020-06-24,3,66.7
2020-06-27,,
2020-06-30,4,100.0
2020-07-04,5,57.1
2020-07-09,5,33.3
2020-07-13,4,66.7
2020-07-16,2,90.0
2020-07-19,,
2020-07-22,8,50.0
2020-07-26,6,57.1
2020-08-05,10,50.0
2020-08-10,10,77.8
2020-08-16,3,83.3
,297,73.1
