,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2019-01-19,Sat,Premier League,Matchweek 23,Away,L 3–4,Leicester City,Wolves,Y,CB,47,21,28,75.0,444,157,10,11,90.9,7,10,70.0,4,5,80.0,0,0.0,0.0,1,0,0,0,1,Match Report
2019-01-30,Wed,Premier League,Matchweek 24,Away,D 1–1,Leicester City,Liverpool,Y,CB,90,20,27,74.1,380,172,10,12,83.3,5,7,71.4,4,4,100.0,0,0.0,0.0,0,1,0,0,1,Match Report
2019-02-03,Sun,Premier League,Matchweek 25,Home,L 0–1,Leicester City,Manchester Utd,Y,CB,90,51,59,86.4,1043,419,23,24,95.8,15,17,88.2,11,16,68.8,0,0.0,0.2,0,6,1,0,7,Match Report
2019-02-10,Sun,Premier League,Matchweek 26,Away,L 1–3,Leicester City,Tottenham,Y,CB,90,35,52,67.3,698,243,15,18,83.3,10,15,66.7,7,14,50.0,0,0.0,0.0,0,3,0,0,0,Match Report
2019-02-23,Sat,Premier League,Matchweek 27,Home,L 1–4,Leicester City,Crystal Palace,Y,CB,90,75,81,92.6,1469,626,29,30,96.7,35,38,92.1,10,12,83.3,0,0.0,0.1,0,14,2,0,13,Match Report
2019-02-26,Tue,Premier League,Matchweek 28,Home,W 2–1,Leicester City,Brighton,Y,CB,90,51,59,86.4,1026,289,26,28,92.9,14,15,93.3,11,15,73.3,0,0.1,0.1,1,5,1,0,6,Match Report
2019-03-03,Sun,Premier League,Matchweek 29,Away,L 1–2,Leicester City,Watford,Y,CB,90,64,77,83.1,1312,381,25,29,86.2,29,32,90.6,10,16,62.5,0,0.0,0.0,1,11,0,0,7,Match Report
2019-03-09,Sat,Premier League,Matchweek 30,Home,W 3–1,Leicester City,Fulham,Y,CB,90,69,76,90.8,1451,501,24,27,88.9,31,35,88.6,14,14,100.0,0,0.0,0.0,0,5,0,0,5,Match Report
2019-03-16,Sat,Premier League,Matchweek 31,Away,W 2–1,Leicester City,Burnley,Y,CB,3,4,4,100.0,80,8,0,0,,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Match Report
2019-03-22,Fri,UEFA Euro Qualifying,Group stage,Home,W 5–0,eng England,cz Czech Republic,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2019-03-25,Mon,UEFA Euro Qualifying,Group stage,Away,W 5–1,eng England,me Montenegro,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2019-04-12,Fri,Premier League,Matchweek 34,Home,L 0–1,Leicester City,Newcastle Utd,Y,CB,90,114,127,89.8,2336,879,28,34,82.4,71,75,94.7,14,17,82.4,0,0.0,0.0,0,14,0,0,10,Match Report
2019-04-20,Sat,Premier League,Matchweek 35,Away,D 2–2,Leicester City,West Ham,Y,CB,90,46,56,82.1,954,268,11,15,73.3,28,32,87.5,7,9,77.8,0,0.0,0.0,0,1,0,0,2,Match Report
2019-04-28,Sun,Premier League,Matchweek 36,Home,W 3–0,Leicester City,Arsenal,Y,CB,90,74,88,84.1,1473,514,22,28,78.6,47,52,90.4,5,7,71.4,0,0.0,0.0,0,5,0,0,4,Match Report
2019-05-06,Mon,Premier League,Matchweek 37,Away,L 0–1,Leicester City,Manchester City,Y,CB,90,46,51,90.2,944,304,20,21,95.2,20,24,83.3,6,6,100.0,0,0.0,0.0,1,1,0,0,0,Match Report
2019-05-12,Sun,Premier League,Matchweek 38,Home,D 0–0,Leicester City,Chelsea,Y,CB,90,68,68,100.0,1334,457,24,24,100.0,37,37,100.0,6,6,100.0,0,0.0,0.0,0,0,0,0,4,Match Report
2019-06-06,Thu,UEFA Nations League,Semi-finals,Neutral,L 1–3,eng England,nl Netherlands,Y,CB,120,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2019-06-09,Sun,UEFA Nations League,Third-place match,Neutral,D 0 (6)–0 (5),eng England,ch Switzerland,Y,CB,120,,,,,,,,,,,,,,,0,,,,,,,,Match Report
,,,,,17-8-19,,,44/44,,3916,1718,2003,85.8,35691,12906,606,676,89.6,778,864,90.0,304,408,74.5,0,1.0,1.2,14,173,11,0,144,
