,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2021-07-03,Sat,UEFA Euro,Quarter-finals,Away,W 4–0,eng England,ua Ukraine,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Match Report
2021-07-07,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,CB,120,2,2,1,1,0,2,3,66.7,1,2,0,2,5,7,6,0,Match Report
2021-07-11,Sun,UEFA Euro,Final,Neutral,D 1 (2)–1 (3),eng England,it Italy,Y,CB,120,0,0,0,0,0,0,0,,0,1,1,0,1,1,6,0,Match Report
2021-08-14,Sat,Premier League,Matchweek 1,Home,W 5–1,Manchester Utd,Leeds United,Y*,CB,90,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,3,0,Match Report
2021-08-22,Sun,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Southampton,Y*,CB,90,3,1,1,2,0,2,2,100.0,0,0,0,0,1,4,4,1,Match Report
2021-08-29,Sun,Premier League,Matchweek 3,Away,W 1–0,Manchester Utd,Wolves,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,4,0,Match Report
2021-09-02,Thu,WCQ,First round,Away,W 4–0,eng England,hu Hungary,Y,CB,90,,0,,,,,,,,,,,2,,,,Match Report
2021-09-08,Wed,WCQ,First round,Away,D 1–1,eng England,pl Poland,Y,CB,90,,0,,,,,,,,,,,1,,,,Match Report
2021-09-11,Sat,Premier League,Matchweek 4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,2,0,2,0,0,1,2,50.0,1,1,1,0,0,2,4,0,Match Report
2021-09-14,Tue,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,ch Young Boys,Y*,CB,90,4,3,2,2,0,3,3,100.0,0,1,0,1,0,4,5,0,Match Report
2021-09-19,Sun,Premier League,Matchweek 5,Away,W 2–1,Manchester Utd,West Ham,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,2,2,0,0,0,5,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Sat,Premier League,Matchweek 6,Home,L 0–1,Manchester Utd,Aston Villa,Y*,CB,66,0,0,0,0,0,0,0,,0,1,1,0,1,1,6,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-16,Sat,Premier League,Matchweek 8,Away,L 2–4,Manchester Utd,Leicester City,Y*,CB,90,2,1,2,0,0,2,3,66.7,1,2,2,0,0,2,3,1,Match Report
2021-10-20,Wed,Champions Lg,Group stage,Home,W 3–2,eng Manchester Utd,it Atalanta,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Match Report
