,Perf,Aeri
Date,Recov,Won%
2017-08-11,4,66.7
2017-08-19,8,60.0
2017-08-22,,
2017-08-26,8,50.0
2017-09-09,9,50.0
2017-09-16,9,66.7
2017-09-23,15,71.4
2017-09-30,6,0.0
2017-10-08,,
2017-10-16,13,80.0
2017-10-21,5,100.0
2017-10-24,,
2017-10-29,3,66.7
2017-11-04,5,66.7
2017-11-10,,
2017-11-14,,
2017-11-18,6,80.0
2017-11-24,3,100.0
2017-11-28,3,66.7
2017-12-02,6,57.1
2017-12-09,6,60.0
2017-12-13,6,100.0
2017-12-16,7,66.7
2017-12-19,,
2017-12-23,5,0.0
2017-12-26,9,75.0
2017-12-30,8,60.0
2018-01-01,13,33.3
2018-01-13,5,100.0
2018-01-20,5,50.0
2018-01-27,,
2018-01-31,6,85.7
2018-02-03,7,57.1
2018-02-10,8,0.0
2018-02-16,,
2018-02-24,11,50.0
2018-03-03,10,77.8
2018-03-10,12,100.0
2018-03-18,,
2018-03-23,,
2018-03-31,5,80.0
2018-04-07,6,57.1
2018-04-14,5,69.2
2018-04-19,5,83.3
2018-04-28,9,100.0
2018-05-05,4,0.0
2018-05-09,6,100.0
2018-05-13,8,100.0
2018-06-07,,
2018-06-18,8,77.8
2018-06-24,1,75.0
2018-06-28,5,100.0
,283,67.0
