,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2020-09-19,Sat,Premier League,Matchweek 2,Home,L 1–3,Manchester Utd,Crystal Palace,Y*,CB,90,84,93,90.3,1727,496,20,25,80.0,52,53,98.1,9,11,81.8,0,0.0,0.0,0,10,2,0,4,Match Report
2020-09-22,Tue,EFL Cup,Third round,Away,W 3–0,Manchester Utd,Luton Town,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-09-26,Sat,Premier League,Matchweek 3,Away,W 3–2,Manchester Utd,Brighton,Y*,CB,90,41,50,82.0,822,275,16,19,84.2,19,20,95.0,6,11,54.5,0,0.0,0.0,0,1,0,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,Sun,Premier League,Matchweek 4,Home,L 1–6,Manchester Utd,Tottenham,Y*,CB,90,44,54,81.5,810,235,15,18,83.3,27,30,90.0,1,4,25.0,0,0.0,0.0,0,1,0,0,2,Match Report
2020-10-11,Sun,UEFA Nations League,League A,Home,W 2–1,eng England,be Belgium,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-10-14,Wed,UEFA Nations League,League A,Home,L 0–1,eng England,dk Denmark,Y,CB,31,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-10-17,Sat,Premier League,Matchweek 5,Away,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,68,83,81.9,1371,482,22,25,88.0,37,44,84.1,9,14,64.3,0,0.0,0.0,0,5,0,0,3,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Sat,Premier League,Matchweek 6,Home,D 0–0,Manchester Utd,Chelsea,Y*,CB,90,53,60,88.3,1010,294,16,17,94.1,28,30,93.3,7,10,70.0,0,0.1,0.0,1,5,0,0,1,Match Report
2020-10-28,Wed,Champions Lg,Group stage,Home,W 5–0,eng Manchester Utd,de RB Leipzig,Y*,CB,90,54,62,87.1,1022,350,21,23,91.3,21,23,91.3,10,13,76.9,0,0.0,0.0,0,0,0,0,0,Match Report
2020-11-01,Sun,Premier League,Matchweek 7,Home,L 0–1,Manchester Utd,Arsenal,Y*,CB,90,61,67,91.0,1061,237,28,30,93.3,30,30,100.0,3,5,60.0,0,0.0,0.0,1,3,0,0,1,Match Report
2020-11-04,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,tr Başakşehir,Y*,CB,90,79,89,88.8,1390,471,29,32,90.6,42,45,93.3,5,7,71.4,0,0.1,0.1,1,5,1,0,3,Match Report
2020-11-07,Sat,Premier League,Matchweek 8,Away,W 3–1,Manchester Utd,Everton,Y*,CB,90,44,50,88.0,865,355,15,17,88.2,26,30,86.7,3,3,100.0,0,0.0,0.0,0,5,0,0,1,Match Report
2020-11-12,Thu,Friendlies (M),Friendlies (M),Home,W 3–0,eng England,ie Rep. of Ireland,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,Wed,UEFA Nations League,League A,Home,W 4–0,eng England,is Iceland,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2020-11-21,Sat,Premier League,Matchweek 9,Home,W 1–0,Manchester Utd,West Brom,Y*,CB,90,58,65,89.2,1232,399,19,20,95.0,28,30,93.3,10,13,76.9,0,0.0,0.0,0,10,0,0,2,Match Report
2020-11-24,Tue,Champions Lg,Group stage,Home,W 4–1,eng Manchester Utd,tr Başakşehir,Y*,CB,90,60,69,87.0,1239,522,21,21,100.0,28,32,87.5,9,12,75.0,0,0.0,0.0,0,2,0,0,3,Match Report
2020-11-29,Sun,Premier League,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,Y*,CB,90,49,58,84.5,1017,402,12,14,85.7,31,36,86.1,6,8,75.0,0,0.0,0.0,0,4,0,0,0,Match Report
2020-12-02,Wed,Champions Lg,Group stage,Home,L 1–3,eng Manchester Utd,fr Paris S-G,Y*,CB,90,51,58,87.9,967,280,18,20,90.0,28,29,96.6,5,8,62.5,0,0.0,0.0,1,2,0,0,3,Match Report
2020-12-05,Sat,Premier League,Matchweek 11,Away,W 3–1,Manchester Utd,West Ham,Y*,CB,90,69,81,85.2,1201,510,30,32,93.8,34,38,89.5,3,8,37.5,0,0.0,0.0,0,3,0,0,2,Match Report
2020-12-08,Tue,Champions Lg,Group stage,Away,L 2–3,eng Manchester Utd,de RB Leipzig,Y*,CB,90,53,61,86.9,1027,361,21,23,91.3,28,30,93.3,4,7,57.1,0,0.0,0.0,0,2,0,0,4,Match Report
2020-12-12,Sat,Premier League,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,Y*,CB,90,53,69,76.8,1096,327,16,19,84.2,29,35,82.9,6,11,54.5,0,0.0,0.0,0,1,0,0,0,Match Report
2020-12-17,Thu,Premier League,Matchweek 13,Away,W 3–2,Manchester Utd,Sheffield Utd,Y*,CB,90,64,75,85.3,1364,529,18,18,100.0,37,39,94.9,9,16,56.3,0,0.0,0.0,0,3,0,0,2,Match Report
2020-12-20,Sun,Premier League,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,Y*,CB,90,22,24,91.7,377,164,7,7,100.0,12,13,92.3,1,1,100.0,0,0.0,0.0,0,1,0,0,2,Match Report
2020-12-23,Wed,EFL Cup,Quarter-finals,Away,W 2–0,Manchester Utd,Everton,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
