,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
2018-10-12,Fri,UEFA Nations League,League A,Away,D 0–0,eng England,hr Croatia,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2018-10-15,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2018-10-22,Mon,Premier League,Matchweek 9,Away,L 1–3,Leicester City,Arsenal,Y,CB,90,2,0,1,1,0,0,1,0.0,1,2,0,2,4,6,2,0,Match Report
2018-10-27,Sat,Premier League,Matchweek 10,Home,D 1–1,Leicester City,West Ham,Y,CB,90,2,2,0,1,1,1,1,100.0,0,1,0,1,2,4,1,0,Match Report
2018-11-03,Sat,Premier League,Matchweek 11,Away,W 1–0,Leicester City,Cardiff City,Y,CB,26,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-15,Sat,Premier League,Matchweek 17,Away,L 0–1,Leicester City,Crystal Palace,Y,CB,90,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,2,0,Match Report
2018-12-18,Tue,EFL Cup,Quarter-finals,Home,D 1 (1)–1 (3),Leicester City,Manchester City,Y*,CB,120,,1,,,,,,,,,,,1,,,,Match Report
2018-12-22,Sat,Premier League,Matchweek 18,Away,W 1–0,Leicester City,Chelsea,Y,CB,90,1,1,1,0,0,0,0,,0,2,0,2,2,3,4,1,Match Report
2018-12-26,Wed,Premier League,Matchweek 19,Home,W 2–1,Leicester City,Manchester City,Y,CB,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,16,0,Match Report
2018-12-29,Sat,Premier League,Matchweek 20,Home,L 0–1,Leicester City,Cardiff City,Y,CB,90,1,0,1,0,0,0,1,0.0,1,3,2,1,1,2,6,1,Match Report
2019-01-01,Tue,Premier League,Matchweek 21,Away,W 1–0,Leicester City,Everton,Y,CB,90,1,1,1,0,0,1,1,100.0,0,4,3,1,1,2,5,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,Sat,Premier League,Matchweek 22,Home,L 1–2,Leicester City,Southampton,Y,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,Match Report
2019-01-19,Sat,Premier League,Matchweek 23,Away,L 3–4,Leicester City,Wolves,Y,CB,47,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
2019-01-30,Wed,Premier League,Matchweek 24,Away,D 1–1,Leicester City,Liverpool,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,Match Report
2019-02-03,Sun,Premier League,Matchweek 25,Home,L 0–1,Leicester City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0,Match Report
2019-02-10,Sun,Premier League,Matchweek 26,Away,L 1–3,Leicester City,Tottenham,Y,CB,90,0,0,0,0,0,0,0,,0,3,3,0,2,2,2,0,Match Report
2019-02-23,Sat,Premier League,Matchweek 27,Home,L 1–4,Leicester City,Crystal Palace,Y,CB,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,3,1,Match Report
2019-02-26,Tue,Premier League,Matchweek 28,Home,W 2–1,Leicester City,Brighton,Y,CB,90,2,2,0,2,0,0,0,,0,1,0,1,2,4,8,0,Match Report
2019-03-03,Sun,Premier League,Matchweek 29,Away,L 1–2,Leicester City,Watford,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Match Report
2019-03-09,Sat,Premier League,Matchweek 30,Home,W 3–1,Leicester City,Fulham,Y,CB,90,1,0,0,1,0,0,0,,0,0,0,0,2,3,6,0,Match Report
2019-03-16,Sat,Premier League,Matchweek 31,Away,W 2–1,Leicester City,Burnley,Y,CB,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
2019-03-22,Fri,UEFA Euro Qualifying,Group stage,Home,W 5–0,eng England,cz Czech Republic,Y,CB,90,,1,,,,,,,,,,,3,,,,Match Report
2019-03-25,Mon,UEFA Euro Qualifying,Group stage,Away,W 5–1,eng England,me Montenegro,Y,CB,90,,3,,,,,,,,,,,1,,,,Match Report
2019-04-12,Fri,Premier League,Matchweek 34,Home,L 0–1,Leicester City,Newcastle Utd,Y,CB,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,Match Report
2019-04-20,Sat,Premier League,Matchweek 35,Away,D 2–2,Leicester City,West Ham,Y,CB,90,2,1,2,0,0,0,1,0.0,1,0,0,0,0,2,4,0,Match Report
2019-04-28,Sun,Premier League,Matchweek 36,Home,W 3–0,Leicester City,Arsenal,Y,CB,90,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,11,0,Match Report
2019-05-06,Mon,Premier League,Matchweek 37,Away,L 0–1,Leicester City,Manchester City,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,5,0,Match Report
2019-05-12,Sun,Premier League,Matchweek 38,Home,D 0–0,Leicester City,Chelsea,Y,CB,90,1,0,1,0,0,0,0,,0,1,1,0,1,2,6,0,Match Report
2019-06-06,Thu,UEFA Nations League,Semi-finals,Neutral,L 1–3,eng England,nl Netherlands,Y,CB,120,,,,,,,,,,,,,,,,,Match Report
2019-06-09,Sun,UEFA Nations League,Third-place match,Neutral,D 0 (6)–0 (5),eng England,ch Switzerland,Y,CB,120,,,,,,,,,,,,,,,,,Match Report
,,,,,17-8-19,,,44/44,,3916,35,24,21,13,1,12,21,57.1,9,34,20,14,45,75,172,4,
