,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2018-07-03,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,120,1,0,0,1,0,0,0,,0,1,1,0,0,1,3,0,Match Report
2018-07-07,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,6,0,Match Report
2018-07-11,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,CB,120,1,0,0,1,0,0,0,,0,0,0,0,0,1,7,0,Match Report
2018-07-14,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,1,1,0,1,0,0,2,0.0,2,1,1,0,3,4,1,0,Match Report
2018-08-10,Fri,Premier League,Matchweek 1,Away,L 1–2,Leicester City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Match Report
2018-08-18,Sat,Premier League,Matchweek 2,Home,W 2–0,Leicester City,Wolves,Y,CB,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,7,0,Match Report
2018-08-25,Sat,Premier League,Matchweek 3,Away,W 2–1,Leicester City,Southampton,Y,CB,90,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,10,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,Sat,Premier League,Matchweek 4,Home,L 1–2,Leicester City,Liverpool,Y,CB,90,5,3,5,0,0,4,4,100.0,0,0,0,0,0,5,9,0,Match Report
2018-09-08,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2018-09-11,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,ch Switzerland,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2018-09-15,Sat,Premier League,Matchweek 5,Away,L 2–4,Leicester City,Bournemouth,Y,CB,90,3,2,1,2,0,2,2,100.0,0,2,1,1,6,9,5,0,Match Report
2018-09-22,Sat,Premier League,Matchweek 6,Home,W 3–1,Leicester City,Huddersfield,Y,CB,90,1,0,1,0,0,0,1,0.0,1,0,0,0,4,5,5,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,Sat,Premier League,Matchweek 7,Away,W 2–0,Leicester City,Newcastle Utd,Y,CB,90,2,2,1,1,0,0,0,,0,1,0,1,2,4,1,0,Match Report
2018-10-06,Sat,Premier League,Matchweek 8,Home,L 1–2,Leicester City,Everton,Y,CB,90,0,0,0,0,0,0,0,,0,3,3,0,0,0,10,0,Match Report
