,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2022-06-04,Sat,UEFA Nations League,League A,Away,L 0–1,eng England,hu Hungary,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-06-07,Tue,UEFA Nations League,League A,Away,D 1–1,eng England,de Germany,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-06-11,Sat,UEFA Nations League,League A,Home,D 0–0,eng England,it Italy,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-06-14,Tue,UEFA Nations League,League A,Home,L 0–4,eng England,hu Hungary,N,,6,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-08-07,Sun,Premier League,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,Y*,CB,90,63,72,87.5,1257,421,24,24,100.0,29,33,87.9,9,14,64.3,0,0.0,0.0,0,7,0,0,4,Match Report
2022-08-13,Sat,Premier League,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y*,CB,90,46,50,92.0,805,229,16,17,94.1,22,23,95.7,5,6,83.3,0,0.0,0.0,1,7,0,0,0,Match Report
2022-09-04,Sun,Premier League,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,N,CB,11,2,2,100.0,46,21,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Match Report
2022-09-08,Thu,Europa Lg,Group stage,Home,L 0–1,eng Manchester Utd,es Real Sociedad,Y*,CB,90,49,60,81.7,1048,201,15,15,100.0,23,27,85.2,11,17,64.7,0,0.0,0.0,0,2,0,0,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,Thu,Europa Lg,Group stage,Away,W 2–0,eng Manchester Utd,md Sheriff Tiraspol,N,CB,1,6,6,100.0,112,3,3,3,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
2022-09-23,Fri,UEFA Nations League,League A,Away,L 0–1,eng England,it Italy,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-09-26,Mon,UEFA Nations League,League A,Home,D 3–3,eng England,de Germany,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-10-27,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,md Sheriff Tiraspol,N,CB,45,49,51,96.1,957,354,19,19,100.0,20,21,95.2,9,9,100.0,0,0.0,0.1,1,8,0,0,5,Match Report
2022-10-30,Sun,Premier League,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y*,CB,90,42,51,82.4,796,231,15,16,93.8,20,24,83.3,6,10,60.0,0,0.0,0.0,0,2,0,0,0,Match Report
2022-11-03,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,es Real Sociedad,N,FW,8,1,2,50.0,20,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Match Report
2022-11-10,Thu,EFL Cup,Third round,Home,W 4–2,Manchester Utd,Aston Villa,Y*,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2022-11-21,Mon,World Cup,Group stage,Neutral,W 6–2,eng England,ir IR Iran,Y,CB,69,66,74,89.2,1371,486,17,18,94.4,40,43,93.0,9,13,69.2,1,0.0,0.0,1,3,0,0,2,Match Report
2022-11-25,Fri,World Cup,Group stage,Neutral,D 0–0,eng England,us United States,Y,CB,90,71,81,87.7,1635,577,16,17,94.1,40,44,90.9,15,18,83.3,0,0.0,0.0,0,4,0,0,5,Match Report
2022-11-29,Tue,World Cup,Group stage,Neutral,W 3–0,eng England,wls Wales,Y,CB,90,77,85,90.6,1593,492,19,20,95.0,51,52,98.1,7,11,63.6,0,0.0,0.0,0,4,1,0,2,Match Report
,,,,,8-4-6,,,13/18,,1220,472,534,88.4,9640,3015,144,149,96.6,250,272,91.9,72,99,72.7,1,0.1,0.2,3,37,1,0,19,
