,Perf,Aeri
Date,Recov,Won%
,,
2022-06-04,,
2022-06-07,,
2022-06-11,,
2022-06-14,,
2022-08-07,9,50.0
2022-08-13,4,57.1
2022-09-04,0,
2022-09-08,4,42.9
2022-09-15,0,
2022-09-23,,
2022-09-26,,
2022-10-27,6,0.0
2022-10-30,0,66.7
2022-11-03,0,50.0
2022-11-10,,
2022-11-21,4,100.0
2022-11-25,5,75.0
2022-11-29,1,100.0
,33,62.5
