,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2022-06-04,Sat,UEFA Nations League,League A,Away,L 0–1,eng England,hu Hungary,Y,CB,90,,,,,,,,,,,,,,,Match Report
2022-06-07,Tue,UEFA Nations League,League A,Away,D 1–1,eng England,de Germany,Y,CB,90,,,,,,,,,,,,,,,Match Report
2022-06-11,Sat,UEFA Nations League,League A,Home,D 0–0,eng England,it Italy,Y,CB,90,,,,,,,,,,,,,,,Match Report
2022-06-14,Tue,UEFA Nations League,League A,Home,L 0–4,eng England,hu Hungary,N,,6,,,,,,,,,,,,,,,Match Report
2022-08-07,Sun,Premier League,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,Y*,CB,90,86,5,45,36,5,1,86,0,0,,0,0,58,1,Match Report
2022-08-13,Sat,Premier League,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y*,CB,90,59,6,21,31,7,0,59,0,0,,0,0,37,0,Match Report
2022-09-04,Sun,Premier League,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,N,CB,11,4,3,4,0,0,0,4,0,0,,0,0,2,0,Match Report
2022-09-08,Thu,Europa Lg,Group stage,Home,L 0–1,eng Manchester Utd,es Real Sociedad,Y*,CB,90,66,8,37,27,2,1,66,0,0,,1,0,43,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,Thu,Europa Lg,Group stage,Away,W 2–0,eng Manchester Utd,md Sheriff Tiraspol,N,CB,1,6,0,1,5,0,0,6,0,0,,0,0,6,0,Match Report
2022-09-23,Fri,UEFA Nations League,League A,Away,L 0–1,eng England,it Italy,Y,CB,90,,,,,,,,,,,,,,,Match Report
2022-09-26,Mon,UEFA Nations League,League A,Home,D 3–3,eng England,de Germany,Y,CB,90,,,,,,,,,,,,,,,Match Report
2022-10-27,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,md Sheriff Tiraspol,N,CB,45,51,1,10,31,11,0,51,0,0,,0,0,42,0,Match Report
2022-10-30,Sun,Premier League,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y*,CB,90,65,11,43,19,3,2,65,0,1,0.0,0,0,47,0,Match Report
2022-11-03,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,es Real Sociedad,N,FW,8,3,1,1,1,1,0,3,0,0,,0,0,2,1,Match Report
2022-11-10,Thu,EFL Cup,Third round,Home,W 4–2,Manchester Utd,Aston Villa,Y*,CB,90,,,,,,,,,,,,,,,Match Report
2022-11-21,Mon,World Cup,Group stage,Neutral,W 6–2,eng England,ir IR Iran,Y,CB,69,79,4,31,44,4,3,79,1,1,100.0,0,0,57,0,Match Report
2022-11-25,Fri,World Cup,Group stage,Neutral,D 0–0,eng England,us United States,Y,CB,90,92,11,61,28,4,3,92,1,1,100.0,0,0,62,1,Match Report
2022-11-29,Tue,World Cup,Group stage,Neutral,W 3–0,eng England,wls Wales,Y,CB,90,91,2,44,42,5,3,91,0,0,,0,0,78,1,Match Report
,,,,,8-4-6,,,13/18,,1220,602,52,298,264,42,13,602,2,3,66.7,1,0,434,4,
