,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2020-09-19,Sat,Premier League,Matchweek 2,Home,L 1–3,Manchester Utd,Crystal Palace,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,0,0,0,4,5,2,0,Match Report
2020-09-22,Tue,EFL Cup,Third round,Away,W 3–0,Manchester Utd,Luton Town,Y*,CB,90,,1,,,,,,,,,,,2,,,,Match Report
2020-09-26,Sat,Premier League,Matchweek 3,Away,W 3–2,Manchester Utd,Brighton,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,Sun,Premier League,Matchweek 4,Home,L 1–6,Manchester Utd,Tottenham,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,Match Report
2020-10-11,Sun,UEFA Nations League,League A,Home,W 2–1,eng England,be Belgium,Y,CB,90,,0,,,,,,,,,,,2,,,,Match Report
2020-10-14,Wed,UEFA Nations League,League A,Home,L 0–1,eng England,dk Denmark,Y,CB,31,,0,,,,,,,,,,,0,,,,Match Report
2020-10-17,Sat,Premier League,Matchweek 5,Away,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,4,4,3,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,Sat,Premier League,Matchweek 6,Home,D 0–0,Manchester Utd,Chelsea,Y*,CB,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,6,0,Match Report
2020-10-28,Wed,Champions Lg,Group stage,Home,W 5–0,eng Manchester Utd,de RB Leipzig,Y*,CB,90,1,1,0,0,1,1,1,100.0,0,2,1,1,1,2,6,0,Match Report
2020-11-01,Sun,Premier League,Matchweek 7,Home,L 0–1,Manchester Utd,Arsenal,Y*,CB,90,1,1,1,0,0,0,0,,0,1,0,1,1,2,4,0,Match Report
2020-11-04,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,tr Başakşehir,Y*,CB,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,0,0,Match Report
2020-11-07,Sat,Premier League,Matchweek 8,Away,W 3–1,Manchester Utd,Everton,Y*,CB,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,7,0,Match Report
2020-11-12,Thu,Friendlies (M),Friendlies (M),Home,W 3–0,eng England,ie Rep. of Ireland,Y*,CB,90,,,,,,,,,,,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,Wed,UEFA Nations League,League A,Home,W 4–0,eng England,is Iceland,Y,CB,90,,0,,,,,,,,,,,1,,,,Match Report
2020-11-21,Sat,Premier League,Matchweek 9,Home,W 1–0,Manchester Utd,West Brom,Y*,CB,90,1,0,0,1,0,0,1,0.0,1,0,0,0,4,5,2,0,Match Report
2020-11-24,Tue,Champions Lg,Group stage,Home,W 4–1,eng Manchester Utd,tr Başakşehir,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,3,2,1,1,2,2,0,Match Report
