,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
2020-11-29,Sun,Premier League,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,Y*,CB,90,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,2,0,Match Report
2020-12-02,Wed,Champions Lg,Group stage,Home,L 1–3,eng Manchester Utd,fr Paris S-G,Y*,CB,90,2,1,1,1,0,1,3,33.3,2,1,0,1,1,3,5,0,Match Report
2020-12-05,Sat,Premier League,Matchweek 11,Away,W 3–1,Manchester Utd,West Ham,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,7,0,Match Report
2020-12-08,Tue,Champions Lg,Group stage,Away,L 2–3,eng Manchester Utd,de RB Leipzig,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Match Report
2020-12-12,Sat,Premier League,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,Y*,CB,90,1,1,0,1,0,1,2,50.0,1,4,3,1,4,5,2,0,Match Report
2020-12-17,Thu,Premier League,Matchweek 13,Away,W 3–2,Manchester Utd,Sheffield Utd,Y*,CB,90,3,3,3,0,0,2,2,100.0,0,0,0,0,2,5,3,0,Match Report
2020-12-20,Sun,Premier League,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,3,0,Match Report
2020-12-23,Wed,EFL Cup,Quarter-finals,Away,W 2–0,Manchester Utd,Everton,Y*,CB,90,,0,,,,,,,,,,,1,,,,Match Report
2020-12-26,Sat,Premier League,Matchweek 15,Away,D 2–2,Manchester Utd,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Match Report
2020-12-29,Tue,Premier League,Matchweek 16,Home,W 1–0,Manchester Utd,Wolves,Y*,CB,90,2,0,1,1,0,1,2,50.0,1,2,2,0,3,5,2,0,Match Report
2021-01-01,Fri,Premier League,Matchweek 17,Home,W 2–1,Manchester Utd,Aston Villa,Y*,CB,90,1,1,1,0,0,1,2,50.0,1,1,1,0,2,3,2,0,Match Report
2021-01-06,Wed,EFL Cup,Semi-finals,Home,L 0–2,Manchester Utd,Manchester City,Y*,CB,90,,3,,,,,,,,,,,1,,,,Match Report
2021-01-09,Sat,FA Cup,Third round proper,Home,W 1–0,Manchester Utd,Watford,N,,46,,0,,,,,,,,,,,1,,,,Match Report
2021-01-12,Tue,Premier League,Matchweek 1,Away,W 1–0,Manchester Utd,Burnley,Y*,CB,90,1,1,1,0,0,0,0,,0,1,1,0,0,1,3,0,Match Report
2021-01-17,Sun,Premier League,Matchweek 19,Away,D 0–0,Manchester Utd,Liverpool,Y*,CB,90,1,0,1,0,0,0,0,,0,5,5,0,3,4,6,0,Match Report
2021-01-20,Wed,Premier League,Matchweek 18,Away,W 2–1,Manchester Utd,Fulham,Y*,CB,90,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,5,0,Match Report
2021-01-24,Sun,FA Cup,Fourth round proper,Home,W 3–2,Manchester Utd,Liverpool,Y*,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2021-01-27,Wed,Premier League,Matchweek 20,Home,L 1–2,Manchester Utd,Sheffield Utd,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Match Report
2021-01-30,Sat,Premier League,Matchweek 21,Away,D 0–0,Manchester Utd,Arsenal,Y*,CB,90,1,0,1,0,0,0,0,,0,2,2,0,1,2,2,0,Match Report
2021-02-02,Tue,Premier League,Matchweek 22,Home,W 9–0,Manchester Utd,Southampton,Y*,CB,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Match Report
2021-02-06,Sat,Premier League,Matchweek 23,Home,D 3–3,Manchester Utd,Everton,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,Match Report
2021-02-09,Tue,FA Cup,Fifth round proper,Home,W 1–0,Manchester Utd,West Ham,Y*,CB,120,,0,,,,,,,,,,,3,,,,Match Report
2021-02-14,Sun,Premier League,Matchweek 24,Away,D 1–1,Manchester Utd,West Brom,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,Match Report
2021-02-18,Thu,Europa Lg,Round of 32,Neutral,W 4–0,eng Manchester Utd,es Real Sociedad,Y*,CB,90,2,2,2,0,0,2,3,66.7,1,3,2,1,1,3,5,0,Match Report
2021-02-21,Sun,Premier League,Matchweek 25,Home,W 3–1,Manchester Utd,Newcastle Utd,Y*,CB,90,2,2,1,1,0,1,2,50.0,1,1,1,0,1,3,4,0,Match Report
2021-02-28,Sun,Premier League,Matchweek 26,Away,D 0–0,Manchester Utd,Chelsea,Y*,CB,90,2,0,0,2,0,2,3,66.7,1,0,0,0,0,2,5,0,Match Report
2021-03-03,Wed,Premier League,Matchweek 29,Away,D 0–0,Manchester Utd,Crystal Palace,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,4,4,6,1,Match Report
2021-03-07,Sun,Premier League,Matchweek 27,Away,W 2–0,Manchester Utd,Manchester City,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,9,0,Match Report
2021-03-11,Thu,Europa Lg,Round of 16,Home,D 1–1,eng Manchester Utd,it Milan,Y*,CB,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,Match Report
2021-03-14,Sun,Premier League,Matchweek 28,Home,W 1–0,Manchester Utd,West Ham,Y*,CB,90,1,1,0,1,0,1,2,50.0,1,2,1,1,1,2,7,0,Match Report
2021-03-18,Thu,Europa Lg,Round of 16,Away,W 1–0,eng Manchester Utd,it Milan,Y*,CB,90,0,0,0,0,0,0,0,,0,1,0,1,5,5,5,0,Match Report
2021-03-21,Sun,FA Cup,Quarter-finals,Away,L 1–3,Manchester Utd,Leicester City,Y*,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2021-03-28,Sun,WCQ,First round,Away,W 2–0,eng England,al Albania,Y,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2021-03-31,Wed,WCQ,First round,Home,W 2–1,eng England,pl Poland,Y,CB,90,,1,,,,,,,,,,,2,,,,Match Report
2021-04-04,Sun,Premier League,Matchweek 30,Home,W 2–1,Manchester Utd,Brighton,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,1,1,0,3,4,6,0,Match Report
2021-04-08,Thu,Europa Lg,Quarter-finals,Away,W 2–0,eng Manchester Utd,es Granada,Y*,CB,90,1,1,1,0,0,0,1,0.0,1,1,0,1,2,3,6,0,Match Report
2021-04-11,Sun,Premier League,Matchweek 31,Away,W 3–1,Manchester Utd,Tottenham,Y*,CB,90,2,2,2,0,0,1,1,100.0,0,0,0,0,4,6,1,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-18,Sun,Premier League,Matchweek 32,Home,W 3–1,Manchester Utd,Burnley,Y*,CB,90,2,1,1,1,0,2,2,100.0,0,2,2,0,0,2,3,0,Match Report
2021-04-25,Sun,Premier League,Matchweek 33,Away,D 0–0,Manchester Utd,Leeds United,Y*,CB,90,2,1,1,1,0,1,1,100.0,0,1,0,1,1,3,0,0,Match Report
2021-04-29,Thu,Europa Lg,Semi-finals,Home,W 6–2,eng Manchester Utd,it Roma,Y*,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Match Report
2021-05-06,Thu,Europa Lg,Semi-finals,Away,L 2–3,eng Manchester Utd,it Roma,Y*,CB,90,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,6,0,Match Report
2021-05-09,Sun,Premier League,Matchweek 35,Away,W 3–1,Manchester Utd,Aston Villa,Y*,CB,77,0,0,0,0,0,0,0,,0,1,1,0,1,1,4,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,Tue,UEFA Euro,Group stage,Neutral,W 1–0,eng England,cz Czech Republic,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0,Match Report
2021-06-29,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,CB,90,1,0,0,1,0,1,1,100.0,0,1,1,0,1,2,4,0,Match Report
,,,,,38-11-11,,,59/60,,5314,38,28,25,12,1,25,41,61.0,16,43,32,11,92,117,172,4,
