,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
2018-04-19,Thu,Premier League,Matchweek 35,Home,D 0–0,Leicester City,Southampton,Y,CB,90,43,50,86.0,858,314,17,19,89.5,19,21,90.5,6,8,75.0,0,0.0,0.0,0,3,0,0,2,Match Report
2018-04-28,Sat,Premier League,Matchweek 36,Away,L 0–5,Leicester City,Crystal Palace,Y,CB,90,51,61,83.6,1183,389,16,18,88.9,20,23,87.0,14,18,77.8,0,0.0,0.3,0,4,0,0,6,Match Report
2018-05-05,Sat,Premier League,Matchweek 37,Home,L 0–2,Leicester City,West Ham,Y,CMCB,90,40,47,85.1,845,306,11,12,91.7,22,24,91.7,6,9,66.7,0,0.0,0.0,1,3,1,0,3,Match Report
2018-05-09,Wed,Premier League,Matchweek 31,Home,W 3–1,Leicester City,Arsenal,Y,CB,90,28,38,73.7,668,310,6,9,66.7,14,17,82.4,6,9,66.7,0,0.0,0.0,1,2,2,0,4,Match Report
2018-05-13,Sun,Premier League,Matchweek 38,Away,L 4–5,Leicester City,Tottenham,Y,CB,90,16,31,51.6,362,159,6,8,75.0,6,10,60.0,4,11,36.4,0,0.1,0.0,1,1,1,0,1,Match Report
2018-06-07,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2018-06-18,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,69,80,86.3,970,252,37,39,94.9,21,25,84.0,6,8,75.0,1,0.5,0.1,3,2,0,0,3,Match Report
2018-06-24,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,CB,90,72,77,93.5,970,195,45,49,91.8,16,17,94.1,5,5,100.0,0,0.0,0.0,0,2,1,0,1,Match Report
2018-06-28,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,CB,45,28,32,87.5,483,158,16,16,100.0,9,10,90.0,3,6,50.0,0,0.0,0.0,0,0,0,0,1,Match Report
,,,,,21-14-17,,,50/52,,4674,1548,1970,78.6,31311,11627,546,643,84.9,706,821,86.0,254,426,59.6,5,4.6,2.3,21,132,9,1,120,
