,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2021-07-03,Sat,UEFA Euro,Quarter-finals,Away,W 4–0,eng England,ua Ukraine,Y,CB,90,100,6,24,74,2,2,100,0,0,,0,0,89,0,Match Report
2021-07-07,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,CB,120,108,12,46,54,8,5,108,0,0,,1,0,77,0,Match Report
2021-07-11,Sun,UEFA Euro,Final,Neutral,D 1 (2)–1 (3),eng England,it Italy,Y,CB,120,77,6,36,40,2,2,77,0,0,,0,0,49,0,Match Report
2021-08-14,Sat,Premier League,Matchweek 1,Home,W 5–1,Manchester Utd,Leeds United,Y*,CB,90,56,5,29,25,2,1,56,1,1,100.0,0,1,38,0,Match Report
2021-08-22,Sun,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Southampton,Y*,CB,90,79,10,42,35,3,1,79,0,0,,2,0,47,0,Match Report
2021-08-29,Sun,Premier League,Matchweek 3,Away,W 1–0,Manchester Utd,Wolves,Y*,CB,90,75,11,33,40,3,3,75,0,0,,0,0,54,0,Match Report
2021-09-02,Thu,WCQ,First round,Away,W 4–0,eng England,hu Hungary,Y,CB,90,,,,,,,,,,,,,,,Match Report
2021-09-08,Wed,WCQ,First round,Away,D 1–1,eng England,pl Poland,Y,CB,90,,,,,,,,,,,,,,,Match Report
2021-09-11,Sat,Premier League,Matchweek 4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,72,7,23,47,3,1,72,0,0,,1,0,52,0,Match Report
2021-09-14,Tue,Champions Lg,Group stage,Away,L 1–2,eng Manchester Utd,ch Young Boys,Y*,CB,90,68,9,26,41,1,1,68,0,0,,0,0,44,0,Match Report
2021-09-19,Sun,Premier League,Matchweek 5,Away,W 2–1,Manchester Utd,West Ham,Y*,CB,90,60,10,28,26,6,3,60,1,1,100.0,2,0,37,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Sat,Premier League,Matchweek 6,Home,L 0–1,Manchester Utd,Aston Villa,Y*,CB,66,31,8,22,7,2,2,31,0,0,,1,0,9,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-16,Sat,Premier League,Matchweek 8,Away,L 2–4,Manchester Utd,Leicester City,Y*,CB,90,63,9,35,26,3,1,63,1,2,50.0,1,1,37,0,Match Report
2021-10-20,Wed,Champions Lg,Group stage,Home,W 3–2,eng Manchester Utd,it Atalanta,Y*,CB,90,56,8,27,25,4,3,56,0,0,,0,0,35,2,Match Report
2021-10-24,Sun,Premier League,Matchweek 9,Home,L 0–5,Manchester Utd,Liverpool,Y*,CB,90,63,15,41,20,2,2,63,0,0,,0,0,43,0,Match Report
2021-10-30,Sat,Premier League,Matchweek 10,Away,W 3–0,Manchester Utd,Tottenham,Y*,CB,90,54,10,24,27,4,0,54,0,0,,1,0,31,0,Match Report
2021-11-02,Tue,Champions Lg,Group stage,Away,D 2–2,eng Manchester Utd,it Atalanta,Y*,CB,90,47,3,22,23,2,2,47,1,2,50.0,0,1,29,0,Match Report
2021-11-06,Sat,Premier League,Matchweek 11,Home,L 0–2,Manchester Utd,Manchester City,Y*,CB,90,66,6,32,26,8,1,66,0,0,,0,1,51,0,Match Report
2021-11-12,Fri,WCQ,First round,Home,W 5–0,eng England,al Albania,Y,CB,90,,,,,,,,,,,,,,,Match Report
2021-11-15,Mon,WCQ,First round,Away,W 10–0,eng England,sm San Marino,Y,CB,45,,,,,,,,,,,,,,,Match Report
2021-11-20,Sat,Premier League,Matchweek 12,Away,L 1–4,Manchester Utd,Watford,Y*,CB,68,62,13,36,27,1,0,62,0,0,,1,0,45,0,Match Report
2021-11-23,Tue,Champions Lg,Group stage,Away,W 2–0,eng Manchester Utd,es Villarreal,Y*,CB,90,67,5,35,32,0,0,67,0,0,,0,0,56,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
