,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2019-08-11,Sun,Premier League,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,0,,0,2,2,0,4,4,8,0,Match Report
2019-08-19,Mon,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,Y,CB,90,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,6,0,Match Report
2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Match Report
2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,Y,CB,90,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,2,0,Match Report
2019-09-07,Sat,UEFA Euro Qualifying,Group stage,Home,W 4–0,eng England,bg Bulgaria,Y,CB,90,,0,,,,,,,,,,,1,,,,Match Report
2019-09-10,Tue,UEFA Euro Qualifying,Group stage,Home,W 5–3,eng England,xk Kosovo,Y,CB,90,,0,,,,,,,,,,,4,,,,Match Report
2019-09-14,Sat,Premier League,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,Y,CB,90,2,2,1,1,0,2,2,100.0,0,1,1,0,1,3,5,0,Match Report
2019-09-22,Sun,Premier League,Matchweek 6,Away,L 0–2,Manchester Utd,West Ham,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,6,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,Mon,Premier League,Matchweek 7,Home,D 1–1,Manchester Utd,Arsenal,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Match Report
2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Manchester Utd,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Match Report
2019-10-11,Fri,UEFA Euro Qualifying,Group stage,Away,L 1–2,eng England,cz Czech Republic,Y,CB,90,,2,,,,,,,,,,,3,,,,Match Report
2019-10-14,Mon,UEFA Euro Qualifying,Group stage,Away,W 6–0,eng England,bg Bulgaria,Y,CB,90,,0,,,,,,,,,,,2,,,,Match Report
2019-10-20,Sun,Premier League,Matchweek 9,Home,D 1–1,Manchester Utd,Liverpool,Y,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,10,0,Match Report
2019-10-24,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,rs Partizan,Y*,CB,90,0,0,0,0,0,0,3,0.0,3,1,1,0,0,0,7,0,Match Report
2019-10-27,Sun,Premier League,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Match Report
2019-10-30,Wed,EFL Cup,Fourth round,Away,W 2–1,Manchester Utd,Chelsea,Y*,CB,90,,1,,,,,,,,,,,3,,,,Match Report
2019-11-02,Sat,Premier League,Matchweek 11,Away,L 0–1,Manchester Utd,Bournemouth,Y,CB,90,1,1,1,0,0,0,0,,0,0,0,0,4,5,2,0,Match Report
2019-11-07,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,rs Partizan,Y,CB,90,1,0,1,0,0,0,0,,0,0,0,0,2,3,0,0,Match Report
2019-11-10,Sun,Premier League,Matchweek 12,Home,W 3–1,Manchester Utd,Brighton,Y*,CB,90,2,1,2,0,0,0,0,,0,1,0,1,3,5,3,0,Match Report
2019-11-14,Thu,UEFA Euro Qualifying,Group stage,Home,W 7–0,eng England,me Montenegro,Y,CB,90,,1,,,,,,,,,,,2,,,,Match Report
2019-11-17,Sun,UEFA Euro Qualifying,Group stage,Away,W 4–0,eng England,xk Kosovo,Y,CB,90,,1,,,,,,,,,,,1,,,,Match Report
2019-11-24,Sun,Premier League,Matchweek 13,Away,D 3–3,Manchester Utd,Sheffield Utd,Y*,CB,90,1,0,1,0,0,0,0,,0,1,1,0,1,2,4,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,Sun,Premier League,Matchweek 14,Home,D 2–2,Manchester Utd,Aston Villa,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,0,Match Report
2019-12-04,Wed,Premier League,Matchweek 15,Home,W 2–1,Manchester Utd,Tottenham,Y,CB,90,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,4,0,Match Report
2019-12-07,Sat,Premier League,Matchweek 16,Away,W 2–1,Manchester Utd,Manchester City,Y*,CB,90,2,1,1,1,0,0,0,,0,2,1,1,3,5,10,0,Match Report
2019-12-12,Thu,Europa Lg,Group stage,Home,W 4–0,eng Manchester Utd,nl AZ Alkmaar,Y,CB,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
2019-12-15,Sun,Premier League,Matchweek 17,Home,D 1–1,Manchester Utd,Everton,Y*,CB,90,1,0,0,1,0,0,0,,0,0,0,0,1,2,2,0,Match Report
2019-12-18,Wed,EFL Cup,Quarter-finals,Home,W 3–0,Manchester Utd,Colchester Utd,Y,CB,90,,5,,,,,,,,,,,1,,,,Match Report
2019-12-22,Sun,Premier League,Matchweek 18,Away,L 0–2,Manchester Utd,Watford,Y*,CB,90,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,8,0,Match Report
2019-12-26,Thu,Premier League,Matchweek 19,Home,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90,4,3,1,3,0,1,1,100.0,0,0,0,0,2,6,1,0,Match Report
2019-12-28,Sat,Premier League,Matchweek 20,Away,W 2–0,Manchester Utd,Burnley,Y,CB,90,1,1,0,1,0,0,0,,0,2,2,0,0,1,3,0,Match Report
2020-01-01,Wed,Premier League,Matchweek 21,Away,L 0–2,Manchester Utd,Arsenal,Y*,CB,90,2,1,1,1,0,2,3,66.7,1,3,1,2,3,5,1,0,Match Report
2020-01-04,Sat,FA Cup,Third round,Away,D 0–0,Manchester Utd,Wolves,Y,CB,90,,2,,,,,,,,,,,3,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,Sat,Premier League,Matchweek 22,Home,W 4–0,Manchester Utd,Norwich City,Y*,CB,90,2,2,1,1,0,1,2,50.0,1,0,0,0,3,5,5,0,Match Report
2020-01-15,Wed,FA Cup,Third round,Home,W 1–0,Manchester Utd,Wolves,Y*,CB,90,,1,,,,,,,,,,,1,,,,Match Report
2020-01-19,Sun,Premier League,Matchweek 23,Away,L 0–2,Manchester Utd,Liverpool,Y*,CB,90,1,1,1,0,0,0,4,0.0,4,1,1,0,3,4,7,0,Match Report
2020-01-22,Wed,Premier League,Matchweek 24,Home,L 0–2,Manchester Utd,Burnley,Y*,CB,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,0,Match Report
2020-01-26,Sun,FA Cup,Fourth round,Away,W 6–0,Manchester Utd,Tranmere Rovers,Y*,CB,63,,0,,,,,,,,,,,0,,,,Match Report
2020-01-29,Wed,EFL Cup,Semi-finals,Away,W 1–0,Manchester Utd,Manchester City,Y*,CB,90,,3,,,,,,,,,,,3,,,,Match Report
2020-02-01,Sat,Premier League,Matchweek 25,Home,D 0–0,Manchester Utd,Wolves,Y*,CB,90,4,2,3,1,0,3,5,60.0,2,2,2,0,0,4,1,0,Match Report
2020-02-17,Mon,Premier League,Matchweek 26,Away,W 2–0,Manchester Utd,Chelsea,Y*,CB,90,1,0,1,0,0,1,2,50.0,1,1,1,0,4,5,9,0,Match Report
2020-02-20,Thu,Europa Lg,Round of 32,Away,D 1–1,eng Manchester Utd,be Club Brugge,Y*,CB,90,2,2,2,0,0,2,3,66.7,1,0,0,0,2,4,2,0,Match Report
2020-02-23,Sun,Premier League,Matchweek 27,Home,W 3–0,Manchester Utd,Watford,Y*,CB,90,1,1,0,1,0,0,0,,0,1,0,1,4,5,1,0,Match Report
2020-02-27,Thu,Europa Lg,Round of 32,Home,W 5–0,eng Manchester Utd,be Club Brugge,Y*,CB,90,2,0,2,0,0,0,0,,0,1,1,0,1,3,1,0,Match Report
2020-03-01,Sun,Premier League,Matchweek 28,Away,D 1–1,Manchester Utd,Everton,Y*,CB,90,0,0,0,0,0,0,0,,0,3,1,2,2,2,15,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
