,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
2020-03-08,Sun,Premier League,Matchweek 29,Home,W 2–0,Manchester Utd,Manchester City,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,6,0,Match Report
2020-03-12,Thu,Europa Lg,Round of 16,Away,W 5–0,eng Manchester Utd,at LASK,Y*,CB,90,1,0,1,0,0,0,1,0.0,1,0,0,0,3,4,10,0,Match Report
2020-06-19,Fri,Premier League,Matchweek 30,Away,D 1–1,Manchester Utd,Tottenham,Y*,CB,90,1,0,0,1,0,1,1,100.0,0,0,0,0,5,6,6,0,Match Report
2020-06-24,Wed,Premier League,Matchweek 31,Home,W 3–0,Manchester Utd,Sheffield Utd,Y*,CB,90,0,0,0,0,0,0,0,,0,1,1,0,3,3,1,0,Match Report
2020-06-27,Sat,FA Cup,Quarter-finals,Away,W 2–1,Manchester Utd,Norwich City,Y*,CB,120,,0,,,,,,,,,,,2,,,,Match Report
2020-06-30,Tue,Premier League,Matchweek 32,Away,W 3–0,Manchester Utd,Brighton,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,3,0,Match Report
2020-07-04,Sat,Premier League,Matchweek 33,Home,W 5–2,Manchester Utd,Bournemouth,Y*,CB,90,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,1,0,Match Report
2020-07-09,Thu,Premier League,Matchweek 34,Away,W 3–0,Manchester Utd,Aston Villa,Y*,CB,90,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,2,0,Match Report
2020-07-13,Mon,Premier League,Matchweek 35,Home,D 2–2,Manchester Utd,Southampton,Y*,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,0,Match Report
2020-07-16,Thu,Premier League,Matchweek 36,Away,W 2–0,Manchester Utd,Crystal Palace,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,3,2,1,2,3,3,0,Match Report
2020-07-19,Sun,FA Cup,Semi-finals,Neutral,L 1–3,Manchester Utd,Chelsea,Y*,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2020-07-22,Wed,Premier League,Matchweek 37,Home,D 1–1,Manchester Utd,West Ham,Y*,CB,90,1,1,1,0,0,0,0,,0,1,0,1,2,3,3,0,Match Report
2020-07-26,Sun,Premier League,Matchweek 38,Away,W 2–0,Manchester Utd,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,,0,2,2,0,1,1,2,0,Match Report
2020-08-05,Wed,Europa Lg,Round of 16,Home,W 2–1,eng Manchester Utd,at LASK,Y*,CB,90,1,1,0,1,0,0,0,,0,0,0,0,3,4,1,0,Match Report
2020-08-10,Mon,Europa Lg,Quarter-finals,Home,W 1–0,eng Manchester Utd,dk FC Copenhagen,Y*,CB,120,1,1,0,1,0,0,0,,0,1,1,0,2,3,4,0,Match Report
2020-08-16,Sun,Europa Lg,Semi-finals,Away,L 1–2,eng Manchester Utd,es Sevilla,Y*,CB,90,1,0,1,0,0,0,0,,0,3,2,1,1,2,1,0,Match Report
,,,,,36-14-11,,,61/61,,5500,46,43,30,16,0,20,41,48.8,21,37,27,10,112,132,186,0,
