,Perf,Aeri
Date,Recov,Won%
2021-07-03,3,100.0
2021-07-07,9,75.0
2021-07-11,5,80.0
2021-08-14,3,100.0
2021-08-22,6,100.0
2021-08-29,8,50.0
2021-09-02,,
2021-09-08,,
2021-09-11,4,
2021-09-14,1,66.7
2021-09-19,5,66.7
,,
2021-09-25,3,66.7
,,
2021-10-16,10,80.0
2021-10-20,7,66.7
2021-10-24,6,83.3
2021-10-30,5,100.0
2021-11-02,7,0.0
2021-11-06,2,66.7
2021-11-12,,
2021-11-15,,
2021-11-20,5,
2021-11-23,0,
,,
2021-12-02,4,75.0
2021-12-05,7,25.0
,,
2021-12-11,6,71.4
2021-12-27,5,100.0
2021-12-30,5,55.6
,,
2022-01-19,1,
2022-01-22,5,62.5
2022-02-04,,
2022-02-08,3,100.0
2022-02-12,8,66.7
2022-02-15,4,100.0
2022-02-20,2,100.0
2022-02-23,4,75.0
2022-03-06,2,100.0
2022-03-12,2,66.7
2022-03-15,10,66.7
2022-03-29,,
2022-04-02,8,100.0
2022-04-09,7,77.8
2022-04-16,6,0.0
2022-04-19,10,100.0
,,
2022-05-07,2,100.0
2022-05-22,4,100.0
2022-06-04,,
2022-06-07,,
2022-06-11,,
2022-06-14,,
,194,72.1
