,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2017-08-11,Fri,Premier League,Matchweek 1,Away,L 3–4,Leicester City,Arsenal,Y,CB,90,2,1,0,2,0,1,2,50.0,1,3,3,0,2,4,4,0,Match Report
2017-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Leicester City,Brighton,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Match Report
2017-08-22,Tue,EFL Cup,Second round,Away,W 4–1,Leicester City,Sheffield Utd,Y,CB,80,,1,,,,,,,,,,,2,,,,Match Report
2017-08-26,Sat,Premier League,Matchweek 3,Away,L 0–2,Leicester City,Manchester Utd,Y,CB,90,1,0,1,0,0,0,1,0.0,1,2,1,1,3,4,10,0,Match Report
2017-09-09,Sat,Premier League,Matchweek 4,Home,L 1–2,Leicester City,Chelsea,Y,CB,90,2,2,1,1,0,0,1,0.0,1,2,1,1,1,3,4,0,Match Report
2017-09-16,Sat,Premier League,Matchweek 5,Away,D 1–1,Leicester City,Huddersfield,Y,CB,90,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,6,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-23,Sat,Premier League,Matchweek 6,Home,L 2–3,Leicester City,Liverpool,Y,CB,90,1,1,1,0,0,1,2,50.0,1,1,1,0,2,3,7,0,Match Report
2017-09-30,Sat,Premier League,Matchweek 7,Away,D 0–0,Leicester City,Bournemouth,Y,CB,90,4,3,3,1,0,1,2,50.0,1,0,0,0,2,6,4,0,Match Report
2017-10-08,Sun,WCQ,First round,Away,W 1–0,eng England,lt Lithuania,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2017-10-16,Mon,Premier League,Matchweek 8,Home,D 1–1,Leicester City,West Brom,Y,CB,90,3,3,2,1,0,0,0,,0,0,0,0,1,4,2,0,Match Report
2017-10-21,Sat,Premier League,Matchweek 9,Away,W 2–1,Leicester City,Swansea City,Y,CB,90,1,1,1,0,0,0,0,,0,2,2,0,1,2,8,0,Match Report
2017-10-24,Tue,EFL Cup,Fourth round,Home,W 3–1,Leicester City,Leeds United,Y,CB,90,,1,,,,,,,,,,,1,,,,Match Report
2017-10-29,Sun,Premier League,Matchweek 10,Home,W 2–0,Leicester City,Everton,Y,CB,90,2,1,2,0,0,1,1,100.0,0,1,1,0,0,2,9,0,Match Report
2017-11-04,Sat,Premier League,Matchweek 11,Away,D 2–2,Leicester City,Stoke City,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Match Report
2017-11-10,Fri,Friendlies (M),Friendlies (M),Home,D 0–0,eng England,de Germany,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2017-11-14,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,eng England,br Brazil,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2017-11-18,Sat,Premier League,Matchweek 12,Home,L 0–2,Leicester City,Manchester City,Y,CB,90,2,1,1,1,0,1,2,50.0,1,0,0,0,2,4,1,0,Match Report
2017-11-24,Fri,Premier League,Matchweek 13,Away,D 1–1,Leicester City,West Ham,Y,CB,90,2,2,2,0,0,1,3,33.3,2,0,0,0,0,2,2,0,Match Report
2017-11-28,Tue,Premier League,Matchweek 14,Home,W 2–1,Leicester City,Tottenham,Y,CB,90,4,3,4,0,0,2,2,100.0,0,1,1,0,0,4,6,0,Match Report
2017-12-02,Sat,Premier League,Matchweek 15,Home,W 1–0,Leicester City,Burnley,Y,CB,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,7,0,Match Report
2017-12-09,Sat,Premier League,Matchweek 16,Away,W 3–2,Leicester City,Newcastle Utd,Y,CB,90,4,3,3,1,0,4,5,80.0,1,0,0,0,1,5,3,0,Match Report
2017-12-13,Wed,Premier League,Matchweek 17,Away,W 4–1,Leicester City,Southampton,Y,CB,90,1,1,1,0,0,0,0,,0,1,0,1,3,4,4,0,Match Report
2017-12-16,Sat,Premier League,Matchweek 18,Home,L 0–3,Leicester City,Crystal Palace,Y,CBDM,90,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,1,0,Match Report
2017-12-19,Tue,EFL Cup,Quarter-finals,Home,D 1 (3)–1 (4),Leicester City,Manchester City,Y,CB,120,,1,,,,,,,,,,,0,,,,Match Report
2017-12-23,Sat,Premier League,Matchweek 19,Home,D 2–2,Leicester City,Manchester Utd,Y,CB,90,1,1,0,1,0,0,2,0.0,2,2,1,1,2,3,2,0,Match Report
2017-12-26,Tue,Premier League,Matchweek 20,Away,L 1–2,Leicester City,Watford,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,Match Report
2017-12-30,Sat,Premier League,Matchweek 21,Away,L 1–2,Leicester City,Liverpool,Y,CB,90,2,0,1,1,0,0,1,0.0,1,1,1,0,3,5,8,0,Match Report
2018-01-01,Mon,Premier League,Matchweek 22,Home,W 3–0,Leicester City,Huddersfield,Y,CB,90,3,2,2,1,0,2,2,100.0,0,1,1,0,0,3,5,0,Match Report
2018-01-13,Sat,Premier League,Matchweek 23,Away,D 0–0,Leicester City,Chelsea,Y,CB,90,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,4,0,Match Report
2018-01-20,Sat,Premier League,Matchweek 24,Home,W 2–0,Leicester City,Watford,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,8,0,Match Report
2018-01-27,Sat,FA Cup,Fourth round,Away,W 5–1,Leicester City,P'borough Utd,Y,CB,90,,3,,,,,,,,,,,0,,,,Match Report
2018-01-31,Wed,Premier League,Matchweek 25,Away,L 1–2,Leicester City,Everton,Y,CB,90,1,1,1,0,0,0,0,,0,0,0,0,1,2,12,0,Match Report
2018-02-03,Sat,Premier League,Matchweek 26,Home,D 1–1,Leicester City,Swansea City,Y,CB,90,2,2,0,2,0,0,0,,0,1,1,0,2,4,1,0,Match Report
2018-02-10,Sat,Premier League,Matchweek 27,Away,L 1–5,Leicester City,Manchester City,Y,CB,90,0,0,0,0,0,0,0,,0,2,1,1,1,1,6,0,Match Report
2018-02-16,Fri,FA Cup,Fifth round,Home,W 1–0,Leicester City,Sheffield Utd,Y,CB,90,,2,,,,,,,,,,,1,,,,Match Report
2018-02-24,Sat,Premier League,Matchweek 28,Home,D 1–1,Leicester City,Stoke City,Y,CB,90,3,2,3,0,0,3,3,100.0,0,0,0,0,0,3,2,0,Match Report
2018-03-03,Sat,Premier League,Matchweek 29,Home,D 1–1,Leicester City,Bournemouth,Y,CB,90,3,2,3,0,0,1,1,100.0,0,0,0,0,1,4,3,0,Match Report
2018-03-10,Sat,Premier League,Matchweek 30,Away,W 4–1,Leicester City,West Brom,Y,CB,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,Match Report
2018-03-18,Sun,FA Cup,Quarter-finals,Home,L 1–2,Leicester City,Chelsea,Y,CB,120,,0,,,,,,,,,,,4,,,,Match Report
2018-03-23,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,eng England,nl Netherlands,N,,79,,,,,,,,,,,,,,,,,Match Report
2018-03-31,Sat,Premier League,Matchweek 32,Away,W 2–0,Leicester City,Brighton,Y,CB,90,2,1,1,1,0,2,2,100.0,0,3,2,1,1,3,6,1,Match Report
2018-04-07,Sat,Premier League,Matchweek 33,Home,L 1–2,Leicester City,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Match Report
2018-04-14,Sat,Premier League,Matchweek 34,Away,L 1–2,Leicester City,Burnley,Y,CB,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,5,0,Match Report
2018-04-19,Thu,Premier League,Matchweek 35,Home,D 0–0,Leicester City,Southampton,Y,CB,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,10,0,Match Report
2018-04-28,Sat,Premier League,Matchweek 36,Away,L 0–5,Leicester City,Crystal Palace,Y,CB,90,4,3,3,0,1,1,1,100.0,0,1,1,0,4,8,1,0,Match Report
2018-05-05,Sat,Premier League,Matchweek 37,Home,L 0–2,Leicester City,West Ham,Y,CMCB,90,2,1,2,0,0,1,2,50.0,1,3,3,0,0,2,2,0,Match Report
2018-05-09,Wed,Premier League,Matchweek 31,Home,W 3–1,Leicester City,Arsenal,Y,CB,90,2,2,1,1,0,1,1,100.0,0,2,1,1,4,6,3,0,Match Report
2018-05-13,Sun,Premier League,Matchweek 38,Away,L 4–5,Leicester City,Tottenham,Y,CB,90,4,3,4,0,0,0,0,,0,1,1,0,2,6,6,0,Match Report
2018-06-07,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
2018-06-18,Mon,FIFA World Cup,Group stage,Neutral,W 2–1,eng England,tn Tunisia,Y,CB,90,2,1,0,2,0,1,1,100.0,0,2,1,1,0,2,1,0,Match Report
