,Perf,Aeri
Date,Recov,Won%
2020-09-19,11,75.0
2020-09-22,,
2020-09-26,3,100.0
,,
2020-10-04,4,100.0
2020-10-11,,
2020-10-14,,
2020-10-17,7,87.5
,,
2020-10-24,8,100.0
2020-10-28,5,50.0
2020-11-01,7,100.0
2020-11-04,5,60.0
2020-11-07,4,71.4
2020-11-12,,
,,
2020-11-18,,
2020-11-21,7,66.7
2020-11-24,5,100.0
2020-11-29,7,80.0
2020-12-02,6,100.0
2020-12-05,5,60.0
2020-12-08,4,50.0
2020-12-12,5,100.0
2020-12-17,4,57.1
2020-12-20,5,83.3
2020-12-23,,
2020-12-26,2,100.0
2020-12-29,12,66.7
2021-01-01,6,50.0
2021-01-06,,
2021-01-09,,
2021-01-12,6,80.0
2021-01-17,3,100.0
2021-01-20,5,40.0
2021-01-24,,
2021-01-27,9,90.9
2021-01-30,4,60.0
2021-02-02,5,50.0
2021-02-06,3,50.0
2021-02-09,,
2021-02-14,11,80.0
2021-02-18,3,50.0
2021-02-21,11,100.0
2021-02-28,2,50.0
2021-03-03,3,75.0
2021-03-07,4,100.0
2021-03-11,4,66.7
2021-03-14,8,55.6
2021-03-18,4,66.7
2021-03-21,,
2021-03-28,,
2021-03-31,,
2021-04-04,4,100.0
2021-04-08,5,50.0
2021-04-11,8,100.0
,,
2021-04-18,6,0.0
2021-04-25,7,100.0
2021-04-29,5,60.0
2021-05-06,9,100.0
2021-05-09,3,100.0
,,
2021-06-22,5,
2021-06-29,4,100.0
,263,74.7
